author_id,first_name,middle_name,last_name,birth_place,birth_date,gender,has_wikipedia,website,literaturinstitut,has_phd
0,Reto,,Hänny,,1947-04-13,male,True,,,
1,Jost,,Perfahl,,,male,False,,,
2,Elisabeth,,Plessen,,1944-03-15,female,True,,,
3,Vintila,,Ivanceanu,,1940-12-26,male,True,,,
4,Horst,,Bienek,,1930-05-07,male,True,,,
5,Renate,,Schostack,,1938-01-10,female,True,,,
6,Klaus,,Stiller,,1941-04-15,male,True,,,
7,Maria,Elisabeth,Straub,,1943-11-15,female,True,,,
8,Hans-Jürgen,,Fröhlich,,1932-08-04,male,True,,,
9,Herbert,,Eisenreich,,1925-02-07,male,True,,,
10,Marie-Thérèse,,Kerschbaumer,,1936-08-31,female,True,,,
11,Uwe,,Bolius,,1940-08-06,male,True,,,
12,Karin,,Struck,,1947-05-14,female,True,,,
13,Gert,,Jonke,,1946-02-08,male,True,,,
14,Jürg,,Laederach,,1945-12-20,male,True,,,
15,Dieter,,Kühn,,1935-02-01,male,True,,,
16,Peter,,Schalmey,,,male,False,,,
17,Godehard,,Schramm,,1943-12-24,male,True,,,
18,Heinz,,Pototschnig,,1923-06-30,male,True,,,
19,Gerhard,,Meier,,1917-06-20,male,True,,,
20,Walter,,Kappacher,,1938-10-24,male,True,,,
21,Hermann,,Friedl,,1920-02-21,male,True,,,
22,Rolf,,Schneider,,1932-04-17,male,True,,,
23,O.,P.,Zier,,1954-10-20,male,True,,,
24,Hannelies,,Taschau,,1937-04-26,female,True,,,
25,Helga,,Schütz,,1937-10-02,female,True,,,
26,Jutta,,Schutting,,1937-10-25,female,True,,,
27,Eva,,Schindler,,1930-05-12,female,True,,,
28,Peter,,Renz,,1946-06-08,male,True,,,
29,Ulrich,,Plenzdorf,,1934-10-26,male,True,,,
30,Erika,,Pedretti,,1930-02-25,female,True,,,
31,Hanns-Josef,,Ortheil,,1951-11-05,male,True,,,
32,Engelbert,,Obernosterer,,1936-12-28,male,True,,,
33,E.,Y.,Meyer,,1946-10-11,male,True,,,
34,Angelika,,Mechtel,,1943-08-26,female,True,,,
35,Gertrud,,Leutenegger,,1948-12-07,female,True,,,
36,Ursula,,Krechel,,1947-12-04,female,True,,,
37,Hermann,,Kinder,,1944-05-18,male,True,,,
38,Christine,,Haidegger,,1942-02-27,female,True,,,
39,Heidulf,,Gerngross,,1939-07-01,male,True,,,
40,Christoph,,Geiser,,1949-08-03,male,True,,,
41,Herbert,,Fleck,,1941-07-01,male,True,,,
42,Ludwig,,Fels,,1946-11-27,male,True,,,
43,Helmut,,Eisendle,,1939-01-12,male,True,,,
44,Jeannie,,Ebner,,1918-11-17,female,True,,,
45,Catarina,,Carsten,,1920-04-23,female,True,,,
46,Hermann,,Burger,,1942-07-10,male,True,,,
47,Katja,,Behrens,,1942-12-18,female,True,,,
48,Walter,,Müller,,1950-07-01,male,True,,,
49,Gerald,,Zschorsch,,1951-12-25,male,True,,,
50,Josef,,Winkler,,1953-03-03,male,True,http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm,,
51,Erich,Wolfgang,Skwara,,1948-11-04,male,True,,,
52,Doris,,Richter,,,female,False,,,
53,Ernst,,Nowak,,1944-03-13,male,True,,,
