,author_id,first_name,middle_name,last_name,birth_date,birth_place,gender,has_wikipedia,website,literaturinstitut,has_phd
0,0,Reto,,Hänny,1947-04-13,,male,True,,,
1,1,Jost,,Perfahl,,,male,False,,,
2,2,Elisabeth,,Plessen,1944-03-15,,female,True,,,
3,3,Vintila,,Ivanceanu,1940-12-26,,male,True,,,
4,4,Horst,,Bienek,1930-05-07,,male,True,,,
5,5,Renate,,Schostack,1938-01-10,,female,True,,,
6,6,Klaus,,Stiller,1941-04-15,,male,True,,,
7,7,Maria,Elisabeth,Straub,1943-11-15,,female,True,,,
8,8,Hans-Jürgen,,Fröhlich,1932-08-04,,male,True,,,
9,9,Herbert,,Eisenreich,1925-02-07,,male,True,,,
10,10,Marie-Thérèse,,Kerschbaumer,1936-08-31,,female,True,,,
11,11,Uwe,,Bolius,1940-08-06,,male,True,,,
12,12,Karin,,Struck,1947-05-14,,female,True,,,
13,13,Gert,,Jonke,1946-02-08,,male,True,,,
14,14,Jürg,,Laederach,1945-12-20,,male,True,,,
15,15,Dieter,,Kühn,1935-02-01,,male,True,,,
16,16,Peter,,Schalmey,,,male,False,,,
17,17,Godehard,,Schramm,1943-12-24,,male,True,,,
18,18,Heinz,,Pototschnig,1923-06-30,,male,True,,,
19,19,Gerhard,,Meier,1917-06-20,,male,True,,,
20,20,Walter,,Kappacher,1938-10-24,,male,True,,,
21,21,Hermann,,Friedl,1920-02-21,,male,True,,,
22,22,Rolf,,Schneider,1932-04-17,,male,True,,,
23,23,O.,P.,Zier,1954-10-20,,male,True,,,
24,24,Hannelies,,Taschau,1937-04-26,,female,True,,,
25,25,Helga,,Schütz,1937-10-02,,female,True,,,
26,26,Jutta,,Schutting,1937-10-25,,female,True,,,
27,27,Eva,,Schindler,1930-05-12,,female,True,,,
28,28,Peter,,Renz,1946-06-08,,male,True,,,
29,29,Ulrich,,Plenzdorf,1934-10-26,,male,True,,,
30,30,Erica,,Pedretti,1930-02-25,,female,True,,,
31,31,Hanns-Josef,,Ortheil,1951-11-05,,male,True,,,
32,32,Engelbert,,Obernosterer,1936-12-28,,male,True,,,
33,33,E.,Y.,Meyer,1946-10-11,,male,True,,,
34,34,Angelika,,Mechtel,1943-08-26,,female,True,,,
35,35,Gertrud,,Leutenegger,1948-12-07,,female,True,,,
36,36,Ursula,,Krechel,1947-12-04,,female,True,,,
37,37,Hermann,,Kinder,1944-05-18,,male,True,,,
38,38,Christine,,Haidegger,1942-02-27,,female,True,,,
39,39,Heidulf,,Gerngross,1939-07-01,,male,True,,,
40,40,Christoph,,Geiser,1949-08-03,,male,True,,,
41,41,Herbert,,Fleck,1941-07-01,,male,True,,,
42,42,Ludwig,,Fels,1946-11-27,,male,True,,,
43,43,Helmut,,Eisendle,1939-01-12,,male,True,,,
44,44,Jeannie,,Ebner,1918-11-17,,female,True,,,
45,45,Catarina,,Carsten,1920-04-23,,female,True,,,
46,46,Hermann,,Burger,1942-07-10,,male,True,,,
47,47,Katja,,Behrens,1942-12-18,,female,True,,,
48,48,Walter,,Müller,1950-07-01,,male,True,,,
49,49,Gerald,,Zschorsch,1951-12-25,,male,True,,,
50,50,Josef,,Winkler,1953-03-03,,male,True,http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm,,
51,51,Erich,Wolfgang,Skwara,1948-11-04,,male,True,,,
52,52,Doris,,Richter,,,female,False,,,
53,53,Ernst,,Nowak,1944-03-13,,male,True,,,
54,54,Dorothea,,Macheiner,1943-03-21,,female,True,,,
55,55,Martin,,Luksan,1947-07-01,,male,True,,,
56,56,Klaus,,Konjetzky,1943-05-02,,male,True,,,
57,57,Paul,,Kersten,1943-06-23,,male,True,,,
58,58,Diana,,Kempff,1945-06-11,,female,True,,,
59,59,Hanna,,Johansen,1939-06-17,,female,True,,,
60,60,Katrine,von,Hutten,1944-05-03,,female,True,,,
61,61,Karl,Günther,Hufnagel,1928-07-21,,male,True,,,
62,62,Heribert,,Hopf,1936-02-14,,male,True,,,
63,63,Gert,,Hofmann,1931-01-29,,male,True,,,
64,64,Lukas,,Hartmann,1944-08-29,,male,True,,,
65,65,Marianne,,Gruber,1944-06-04,,female,True,,,
66,66,Markus,,Fenner,,,male,False,,,
67,67,Maria,,Felsenreich,,,female,False,,,
68,68,Gunter,,Falk,1942-10-26,,male,True,,,
69,69,Ernst-Jürgen,,Dreyer,1934-08-20,,male,True,,,
70,70,Helmut,,Degner,1929-03-24,,male,True,,,
71,71,Jan,,Christ,1934-06-28,,male,True,,,
72,72,Franz,,Böni,1952-06-17,,male,True,,,
73,73,Jurek,,Becker,1937-01-30,,male,True,,,
74,74,Peter,,Roos,1950-06-30,,male,True,,,
75,75,Martin,Roda,Becher,1944-10-21,,male,True,,,
76,76,Renate,,Rasp,1935-01-03,,female,True,,,
77,77,Ingrid,,Puganigg,1947-07-01,,female,True,,,
78,78,Edwin,,Ortmann,1941-03-05,,male,True,,,
79,79,Sten,,Nadolny,1942-07-29,,male,True,,,
80,80,Klaus,,Merz,1945-10-03,,male,True,,,
81,81,Jürgen,,Lodemann,1936-03-28,,male,True,,,
82,82,Brigitte,,Kronauer,1940-12-29,,female,True,,,
83,83,Bodo,,Kirchhoff,1948-07-06,,male,True,,,
84,84,Anna,,Jonas,1944-06-08,,female,True,,,
85,85,Margarete,,Jehn,1935-02-27,,female,True,,,
86,86,Martin,,Grzimek,1950-04-08,,male,True,,,
87,87,Henning,,Grunwald,1942-01-09,,male,True,,,
88,88,Anton,,Fuchs,1920-01-29,,male,True,,,
89,89,Waltraud,,Friz,,,female,False,,,
90,90,Roderich,,Feldes,1946-12-21,,male,True,,,
91,91,Hans,,Drawe,1942-07-01,,male,True,,,
92,92,Margrit,von,Dach,1946-06-24,,female,True,,,
93,93,Hans,Christoph,Buch,1944-04-13,,male,True,,,
94,94,Margrit,,Baur,1937-10-09,,female,True,,,
95,95,Elisabeth,,Albertsen,1939-09-15,,female,True,,,
96,96,Ursula,,Adam,1922-11-13,,female,True,,,
97,97,Maja,,Beutler,1936-12-08,,female,True,,,
98,98,Christoph,,Kubelka,,,male,False,,,
99,99,Elisabeth,,Meylan,1937-06-14,,female,True,,,
100,100,Thomas,,Hürlimann,1950-12-21,,male,True,,,
101,101,Frank-Wolf,,Matthies,1951-10-04,,male,True,,,
102,102,Anton,,Dekan,1948-12-18,,male,True,,,
103,103,Adelheid,,Duvanel,1936-04-23,,female,True,,,
104,104,Klaus,,Hoffer,1942-12-27,,male,True,,,
105,105,Joseph,,Zoderer,1935-11-25,,male,True,,,
