text_city_mapper_id,text_id,city,city_id
0,0,Zürich,248
1,1,München,152
2,2,Berlin,23
3,3,Wien,238
4,4,Ottobrunn,170
5,5,Frankfurt/Main,64
6,6,Berlin,23
7,7,Hamburg,80
8,8,München,152
9,9,Tamsweg,211
10,10,Wien,238
11,11,Wien,238
12,12,Münster,154
13,13,Klagenfurt,114
14,14,Bottmingen,31
15,15,Düren,50
16,16,München,152
17,17,Nürnberg,163
18,18,Villach,225
19,19,Niederbipp,159
20,20,Salzburg,189
21,21,Weissenau,234
22,22,,
23,23,Lend,129
24,24,Hameln,81
25,25,Groß Glienicke,76
26,26,Wien,238
27,27,München,152
28,28,Weingarten,233
29,29,Berlin,23
30,30,La Neuveville,123
31,31,Wiesbaden,239
32,32,Hermagor,90
33,33,Wabern,228
34,34,München,152
35,35,Uetikon am See,218
36,36,Frankfurt/Main,64
37,37,Konstanz,116
38,38,Salzburg,189
39,39,Wien,238
40,40,Bern,24
41,41,Neumarkt,156
42,42,Nürnberg,163
43,43,München,152
44,44,Wien,238
45,45,Puch bei Salzburg,179
46,46,Küttigen,122
47,47,Almendfeld,7
48,48,Salzburg,189
49,49,Pohlheim,175
50,50,Klagenfurt,114
51,51,Salzburg,189
52,52,Frankfurt/Main,64
53,53,Wien,238
54,54,Salzburg,189
55,55,Wien,238
56,56,Düren,50
57,57,München,152
58,58,Hamburg,80
59,59,Ammerland,8
60,60,Kilchberg,113
61,61,Lohr-Steinbach,134
62,62,München,152
63,63,München,152
64,64,Klagenfurt,114
65,65,Bern,24
66,66,Wien,238
67,67,München-Pullach,153
68,68,Wien,238
69,69,Graz,74
70,70,Murnau,150
71,71,München,152
72,72,Jesteburg,107
73,73,Zürich,248
74,74,Berlin,23
75,75,München,152
76,76,Bochum,28
77,77,Basel,21
78,78,Weingarten,233
79,79,München,152
80,80,Höchst,100
81,81,München,152
82,82,Berlin,23
83,83,Unterkulm,220
84,84,Karlsruhe,109
85,85,Hamburg,80
86,86,Frankfurt/Main,64
87,87,Konstanz,116
88,88,Berlin,23
89,89,Worpswede,244
90,90,Salzburg,189
91,91,Heidelberg,84
92,92,Erlangen,56
93,93,Bern,24
94,94,Klagenfurt,114
95,95,Villach,225
96,96,Eschenburg,58
97,97,Heppenheim,89
98,98,Paris,171
99,99,Berlin,23
100,100,Aliswil,5
101,101,Bad VIlbel,16
102,102,Klagenfurt,114
103,103,Bern,24
104,104,Klagenfurt,114
105,105,Genf,69
106,106,Berlin,23
107,107,Berlin,23
108,108,Tainach,210
109,109,Basel,21
110,110,Graz,74
111,111,Trenten,216
112,112,Berlin,23
113,113,Visp,226
114,114,Frankfurt/Main,64
115,115,Frankfurt/Main,64
116,116,München,152
117,117,Rothirst,186
118,118,Engelberg,53
119,119,Berlin,23
120,120,Niederwerrn,160
121,121,Tübingen,217
122,122,Wien,238
123,123,Esslingen,60
124,124,Hamburg,80
125,125,Basel,21
126,126,Wien,238
127,127,Rzeszow,187
128,128,München,152
129,129,Göttingen,77
130,130,Zürich,248
131,131,Frankfurt/Main,64
132,132,Berlin,23
133,133,Nürnberg,163
134,134,Innsbruck,105
135,135,Münster,154
136,136,Berlin,23
137,137,Wien,238
138,138,Wien,238
139,139,Mainz,141
140,140,Köln,120
141,141,Berlin,23
142,142,Wien,238
143,143,Stuttgart,209
144,144,Wiesbaden,239
145,145,Hermagor,90
146,146,Baden-Baden,17
147,147,Hohensolms,96
148,148,Wennigsen,235
149,149,Innsbruck,105
150,150,Zürich,248
151,151,Wien,238
152,152,München,152
153,153,Klagenfurt,114
154,154,London,135
155,155,Hamburg,80
156,156,Berlin,23
157,157,Uetikon am See,218
158,158,Hamburg,80
159,159,Gleisdorf,73
160,160,Wiesbaden,239
161,161,Stuttgart,209
162,162,Hamburg,80
163,163,Berlin,23
164,164,Bochum,28
165,165,Berlin,23
166,166,Stadum,205
167,167,Berlin,23
168,168,Frankfurt/Main,64
169,169,Stuttgart,209
170,170,München,152
171,171,London,135
172,172,Baltrum,18
173,173,München,152
174,174,Karlsruhe,109
175,175,Bern,24
176,176,Salzburg,189
177,177,Florenz,63
178,178,Zürich,248
179,179,Frankfurt/Main,64
180,180,Rankweil,182
181,181,Nürnberg,163
182,182,Bremen,35
183,183,Basel,21
184,184,Berlin,23
185,185,Bregenz,34
186,186,Osnabrück,168
187,187,Frankfurt/Main,64
188,188,Bern,24
189,189,München,152
190,190,Wustrow,246
191,191,St. Georgen,203
192,192,Berlin,23
193,193,Bern,24
194,194,Pforzheim,173
195,195,Zürich,248
196,196,Bregenz,34
197,197,Waidhofen,229
198,198,Neuried,157
199,199,La Neuveville,123
200,200,Bern,24
201,201,Heiden,85
202,202,Zürich,248
203,203,München,152
204,204,Düsseldorf,51
205,205,Luzern,138
206,206,Hohenems,95
207,207,Hamburg,80
208,208,Kassel,110
209,209,Berlin,23
210,210,Graz,74
211,211,Salzburg,189
212,212,Hamburg,80
213,213,Frankfurt/Main,64
214,214,Ermatingen,57
215,215,Kriens,117
216,216,Hamburg,80
217,217,München,152
218,218,Berlin,23
219,219,Berlin,23
220,220,Hamburg,80
221,221,Erftstadt,54
222,222,Linz,132
223,223,Bad Essen,12
224,224,Hildesheim,93
225,225,München,152
226,226,Inning,104
227,227,Alblingen,4
228,228,Bremen,35
229,229,Mainz,141
230,230,Leoben,130
231,231,Zürich,248
232,232,Graz,74
233,233,Simbach,200
234,234,Heinrichswil,88
235,235,Brunegg,37
236,236,Berlin,23
237,237,Wien,238
238,238,Wiebaden,236
239,239,Dreieichenhain/Frankfurt,48
240,240,München,152
241,241,Höchst/Vbg.,101
242,242,Klagenfurt,114
243,243,Venedig,223
244,244,Hamburg,80
245,245,München,152
246,246,Berlin,23
247,247,Basel,21
248,248,Wennigsen,235
249,249,Berlin,23
250,250,Wien,238
251,251,München,152
252,252,Hamburg,80
253,253,Linz,132
254,254,Bozen,32
255,255,Stuttgart,209
256,256,München,152
257,256,Nürnberg,163
258,257,Wedel bei Hamburg,231
259,258,Berlin,23
260,259,Hamburg,80
261,260,Berlin,23
262,261,München,152
263,262,Berlin,23
264,263,San Diego,190
265,263,Salzburg,189
266,264,Bachern,11
267,265,Potsdam,176
268,266,Bellin,22
269,267,Lünen,139
270,268,Wien,238
271,269,Berlin,23
272,270,Berlin,23
273,271,Strasbourg,207
274,272,Wien,238
275,273,Hamburg,80
276,274,Wien,238
277,275,Gießen,70
278,276,München,152
279,277,Kiel,112
280,278,Riehen,184
281,279,Salzburg,189
282,280,Berlin,23
283,281,Berlin,23
284,282,Berlin,23
285,283,Willisau,241
286,284,Wien,238
287,285,Hamburg,80
288,286,Hamburg,80
289,287,München,152
290,288,Wiefelstede,237
291,289,Köln,120
292,290,Leipzig,128
293,291,Innsbruck,105
294,292,St. Gallen,202
295,293,Schallaburg,191
296,294,Zürich,248
297,295,Wien,238
298,296,Hamburg,80
299,297,Herrsching,92
300,298,Frankfurt/Main,64
301,299,Wildau,240
302,300,Schmitten,193
303,301,Tielenhemme,213
304,302,Nürnberg,163
305,303,Zürich,248
306,304,Berlin,23
307,305,Lans,126
308,306,Berlin,23
309,307,Luzern,138
310,308,Wolfsberg,242
311,309,Dollart,46
312,310,Basel,21
313,311,Unterkulm,220
314,312,Wien,238
315,313,Frankfurt/Main,64
316,314,Berlin,23
317,315,Erfurt,55
318,316,Nürnberg,163
319,317,Frankfurt/Main,64
320,318,Berlin,23
321,319,Berlin,23
322,320,Graz,74
323,321,Bern,24
324,322,Hollenstedt,98
325,323,Frankfurt/Main,64
326,324,Bielefeld,27
327,325,BRD und Frankreich,10
328,326,Norwich,162
329,327,Salzburg,189
330,328,München,152
331,329,Los Angeles,136
332,330,Berlin,23
333,331,Halle,79
334,332,Wien,238
335,333,Hamburg,80
336,334,Basel,21
337,335,Berlin,23
338,336,Berlin,23
339,337,Cluj-Napoca,42
340,338,Boston,30
341,339,Zürich,248
342,340,Freiburg,66
343,341,Wien,238
344,342,Maria Enzersdorf,143
345,343,Oberursel,166
346,344,Berlin,23
347,345,Berlin,23
348,346,Berlin,23
349,347,München,152
350,348,St. Gallen,202
351,349,München,152
352,350,Berlin,23
353,351,Lauterach,127
354,352,Zollbrück,247
355,353,Berlin,23
356,354,Bregenz,34
357,355,Lippstadt,133
358,356,Berlin,23
359,357,Köln,120
360,358,Berlin,23
361,359,Berlin,23
362,360,Freiburg,66
363,361,Heidelberg,84
364,362,Oberhofen,164
365,363,Köln,120
366,364,Riehen,184
367,365,Basel,21
368,365,Irland,106
369,366,Zürich,248
370,367,Frankfurt/Main,64
371,368,Hamburg,80
372,369,Münster,154
373,370,Wien,238
374,371,Berlin,23
375,372,München,152
376,373,Wien,238
377,374,Aarau,1
378,375,Graz,74
379,376,Berlin,23
380,377,Niederalm,158
381,378,Innsbruck,105
382,379,Allmuthshausen,6
383,380,Paris,171
384,380,Berlin,23
385,381,Frankfurt/Main,64
386,382,Berlin,23
387,383,Berlin,23
388,384,Stuttgart,209
389,385,Schwerin,196
390,386,München,152
391,387,Hollenstedt,98
392,388,Luzern,138
393,389,Berlin,23
394,390,Salzburg,189
395,391,Berlin,23
396,392,Kronshagen,118
397,393,Berlin,23
398,394,Salzburg,189
399,395,Gilching,71
400,396,Wien,238
401,397,Berlin,23
402,398,Paris,171
403,399,Berlin,23
404,400,Frankfurt/Main,64
405,401,Kilchberg,113
406,402,Walding,230
407,403,Wuppertal,245
408,404,Wien,238
409,405,Tübingen,217
410,405,Frankfurt/Main,64
411,406,Osterholz-Scharmbeck,169
412,407,Berlin,23
413,408,Berlin,23
414,409,Frankfurt/Main,64
415,410,Wien,238
416,411,Berlin,23
417,412,Brütten,39
418,413,Aarau,1
419,414,Hamburg,80
420,415,Seillans (Frankreich),198
421,416,Salzburg,189
422,416,Berlin,23
423,417,Garmisch-Partenkirchen,68
424,418,Wien,238
425,419,Genf,69
426,420,Wien,238
427,421,Berlin,23
428,422,"Lure (Franche-Comté,Frankreich)",137
429,423,Wiefelstede,237
430,424,Liebaja (Lettland),131
431,425,Eglharting bei München,52
432,426,Marburg,142
433,427,Wien,238
434,428,Wien,238
435,429,Zürich,248
436,430,Berlin,23
437,431,Maur bei Zürich,145
438,432,Graz,74
439,433,Adnet bei Salzburg,3
440,434,,
441,435,Berlin,23
442,436,Berlin,23
443,437,Graz,74
444,438,München,152
445,439,München,152
446,440,Pöcking,181
447,441,Zürich,248
448,441,Glarus,72
449,442,Tomils,214
450,443,Frankfurt/Main,64
451,444,Wien,238
452,445,Berlin,23
453,446,Berlin,23
454,447,Hamburg,80
455,448,Wien,238
456,448,Berlin,23
457,449,Freiburg,66
458,450,Wien,238
459,451,Graz,74
460,452,Zürich,248
461,453,Meikirch,147
462,453,Bern,24
463,454,Wien,238
464,455,Pogöriach,174
465,456,Berlin,23
466,457,Hamburg,80
467,458,Berlin,23
468,459,Frankfurt/Main,64
469,460,München,152
470,461,Wien,238
471,462,Pully,180
472,463,Wien,238
473,464,Wien,238
474,465,Berlin,23
475,465,Bielefeld,27
476,466,,
477,467,Berlin,23
478,468,Frankfurt/Main,64
479,468,Berlin,23
480,469,Frankfurt/Main,64
481,470,Berlin,23
482,471,Wolfurt,243
483,471,Wien,238
484,472,Obernberg/Inn,165
485,473,Berlin,23
486,474,Zürich,248
487,475,Zürich,248
488,476,Montpellier,149
489,477,Niigata (Japan),161
490,478,Zürich,248
491,479,Klosterneuburg,115
492,480,Kerry (Irland),111
493,481,Wien,238
494,482,Chieming,41
495,483,Eurasburg,61
496,484,Paris,171
497,485,Zürich,248
498,486,Berlin,23
499,487,Basel,21
500,488,Wien,238
501,489,Wien,238
502,490,Zürich,248
503,491,Berlin,23
504,492,Basel,21
505,493,Wien,238
506,494,Bregenz,34
507,495,Berlin,23
508,496,Filzbach,62
509,497,Berlin,23
510,498,Berlin,23
511,499,Berlin,23
512,500,Bregenz,34
513,501,Köln,120
514,502,Berlin,23
515,503,Karlsruhe,109
516,504,Übach-Palenberg,252
517,505,Berlin,23
518,506,Zürich,248
519,507,München,152
520,508,Dornbirn,47
521,509,Zürich,248
522,510,Hamburg,80
523,511,Zürich,248
524,512,Amsterdam,9
525,513,Berlin,23
526,514,Rheineck,183
527,515,Berlin,23
528,516,Wien,238
529,517,Hohenems,95
530,518,Salzburg,189
531,519,Adnet,2
532,520,Langenthal,125
533,521,Berlin,23
534,522,Berlin,23
535,523,Berlin,23
536,524,Berlin,23
537,525,Seon,199
538,526,Wien,238
539,527,Berlin,23
540,528,München,152
541,529,Montevideo (Uruguay),148
542,530,Bad Nauheim,14
543,531,Wien,238
544,532,Basel,21
545,533,Heinitzpolder,87
546,534,Wien,238
547,535,Berlin,23
548,536,Berlin,23
549,537,Berlin,23
550,538,Zürich,248
551,539,Berlin,23
552,540,Berlin,23
553,541,Zürich,248
554,542,Verden/Aller,224
555,543,Köln,120
556,544,Berlin,23
557,545,Berlin,23
558,545,Kumberg,119
559,546,München,152
560,547,Berlin,23
561,548,Frankfurt/Main,64
562,549,München,152
563,550,Zürich,248
564,551,Köln,120
565,552,Berlin,23
566,552,Berlin,23
567,553,Berlin,23
568,553,Potsdam,176
569,554,München,152
570,555,St. Pantaleon,204
571,556,Bern,24
572,557,Leipzig,128
573,558,Wien,238
574,559,Linz,132
575,560,Freiburg,66
576,561,Berlin,23
577,562,Basel,21
578,563,Basel,21
579,564,Innsbruck,105
580,565,Berlin,23
581,566,Dassendorf,45
582,567,Zürich,248
583,568,Hall (Tirol),78
584,568,Zürich,248
585,569,Pratteln,177
586,570,Berlin,23
587,571,Ingelheim,103
588,572,Wien,238
589,572,Hombroich,99
590,573,Berlin,23
591,574,Wuppertal,245
592,575,Graz,74
593,576,Columbus (USA),43
594,577,Hamburg,80
595,578,Frauenfeld,65
596,578,Biel/Bienne,26
597,579,München,152
598,580,Kiel,112
599,581,Berlin,23
600,581,Leipzig,128
601,582,Köln,120
602,583,Handorf,82
603,584,Hohne,97
604,585,Dollart,46
605,586,Zürich,248
606,587,Berlin,23
607,587,Frankfurt/Main,64
608,588,Berlin,23
609,589,Hamburg,80
610,590,Wien,238
611,591,Wien,238
612,591,Wolfurt,243
613,592,Köln,120
614,593,Köln,120
615,594,Berlin,23
616,595,Zürich,248
617,596,München,152
618,597,Hamburg,80
619,597,Schweiz,195
620,598,Verden/Aller,224
621,599,Köln,120
622,600,Wien,238
623,601,Schlangen,192
624,602,Tübingen,217
625,603,Berlin,23
626,604,Hamburg,80
627,605,Leipzig,128
628,606,Berlin,23
629,607,Stuttgart,209
630,608,Berlin,23
631,609,Köln,120
632,610,München,152
633,611,München,152
634,612,Wien,238
635,613,Strasbourg,207
636,613,Paris,171
637,614,Berlin,23
638,615,Graz,74
639,616,Leipzig,128
640,617,Bern,24
641,618,Mönchengladbach,151
642,618,Berlin,23
643,619,Berlin,23
644,620,Langenthal,125
645,621,in Deutschland,250
646,622,Leipzig,128
647,623,Potsdam,176
648,624,München,152
649,625,Berlin,23
650,626,Freiburg,66
651,627,Berlin,23
652,628,München,152
653,629,Kall/Keldenich,108
654,630,Wien,238
655,631,Zürich,248
656,632,Berlin,23
657,633,Saarbrücken,188
658,634,Berlin,23
659,635,Leipzig,128
660,636,Berlin,23
661,637,Wien,238
662,637,Berlin,23
663,638,Tübingen,217
664,639,Leipzig,128
665,640,Schwielowsee,197
666,641,Wien,238
667,641,am Dachstein,249
668,642,Hamburg,80
669,643,Berlin,23
670,644,Wien,238
671,645,Schofheim,194
672,646,Berlin,23
673,647,Berlin,23
674,648,Tübingen,217
675,649,Berlin,23
676,650,Wien,238
677,651,Uster,221
678,652,Barcelona,20
679,653,Frankfurt/Main,64
680,654,Berlin,23
681,655,München,152
682,656,Berlin,23
683,657,Bologna,29
684,658,Berlin,23
