index,author_country,country_detail
0,Schweiz,
1,Deutschland,BRD
2,Deutschland,BRD
3,Österreich,
4,Deutschland,BRD
5,Deutschland,BRD
6,Deutschland,BRD
7,Deutschland,BRD
8,Deutschland,BRD
9,Österreich,
10,Österreich,
11,Österreich,
12,Deutschland,BRD
13,Österreich,
14,Schweiz,
15,Deutschland,BRD
16,Deutschland,BRD
17,Deutschland,BRD
18,Österreich,
19,Schweiz,
20,Österreich,
21,Österreich,
22,Deutschland,DDR
23,Österreich,
24,Deutschland,BRD
25,Deutschland,DDR
26,Österreich,
27,Deutschland,BRD
28,Deutschland,BRD
29,Deutschland,DDR
30,Schweiz,
31,Deutschland,BRD
32,Österreich,
33,Schweiz,
34,Deutschland,BRD
35,Schweiz,
36,Deutschland,BRD
37,Deutschland,BRD
38,Österreich,
39,Österreich,
40,Schweiz,
41,Österreich,
42,Deutschland,BRD
43,Österreich,
44,Österreich,
45,Deutschland,
45,Österreich,
46,Schweiz,
47,Deutschland,BRD
48,Österreich,
49,Deutschland,BRD
50,Österreich,
51,Österreich,
52,Deutschland,BRD
53,Österreich,
54,Österreich,
55,Österreich,
56,Deutschland,BRD
57,Deutschland,BRD
58,Deutschland,BRD
59,Deutschland,BRD
60,Schweiz,
61,Deutschland,BRD
62,Deutschland,BRD
63,Deutschland,BRD
64,Deutschland,BRD
65,Schweiz,
66,Österreich,
67,Deutschland,BRD
68,Österreich,
69,Österreich,
70,Deutschland,BRD
71,Österreich,
72,Deutschland,BRD
73,Schweiz,
74,Deutschland,DDR
75,Deutschland,BRD
76,Deutschland,BRD
77,Schweiz,
78,Deutschland,BRD
79,Deutschland,BRD
80,Österreich,
81,Deutschland,BRD
82,Deutschland,BRD
83,Schweiz,
84,Deutschland,BRD
85,Deutschland,BRD
86,Deutschland,BRD
87,Deutschland,BRD
88,Deutschland,BRD
89,Deutschland,BRD
90,Österreich,
91,Deutschland,BRD
92,Deutschland,BRD
93,Schweiz,
94,Österreich,
95,Österreich,
96,Deutschland,BRD
97,Deutschland,BRD
98,Schweiz,
99,Deutschland,BRD
100,Schweiz,
101,Deutschland,BRD
102,Deutschland,BRD
103,Schweiz,
104,Österreich,
105,Schweiz,
106,Schweiz,
107,Deutschland,BRD
108,Österreich,
109,Schweiz,
110,Österreich,
111,Italien,
112,Deutschland,BRD
113,Schweiz,
114,Deutschland,BRD
115,Deutschland,BRD
116,Deutschland,BRD
117,Schweiz,
118,Schweiz,
119,Schweiz,
120,Deutschland,BRD
121,Deutschland,BRD
122,Österreich,
123,Schweiz,
124,Deutschland,BRD
125,Schweiz,
126,Österreich,
127,Polen,
128,Deutschland,BRD
129,Deutschland,BRD
130,Schweiz,
131,Deutschland,BRD
132,Schweiz,
133,Deutschland,BRD
134,Österreich,
135,Deutschland,BRD
136,Deutschland,BRD
137,Österreich,
138,Österreich,
139,Deutschland,BRD
140,Deutschland,BRD
141,Deutschland,BRD
142,Österreich,
143,Deutschland,BRD
144,Deutschland,BRD
145,Österreich,
146,Deutschland,BRD
147,Deutschland,BRD
148,Deutschland,BRD
149,Österreich,
150,Österreich,
151,Österreich,
152,Deutschland,BRD
153,Österreich,
154,Österreich,
155,Deutschland,BRD
156,Deutschland,BRD
157,Schweiz,
158,Deutschland,BRD
159,Österreich,
160,Deutschland,BRD
161,Deutschland,BRD
162,Deutschland,BRD
163,Deutschland,BRD
164,Deutschland,BRD
165,Deutschland,BRD
166,Deutschland,BRD
167,Deutschland,BRD
168,Deutschland,BRD
169,Deutschland,BRD
170,Deutschland,BRD
171,Deutschland,BRD
172,Deutschland,BRD
173,Deutschland,BRD
174,Deutschland,BRD
175,Schweiz,
176,Österreich,
177,Deutschland,BRD
178,Schweiz,
179,Deutschland,BRD
180,Österreich,
181,Deutschland,BRD
182,Tschechien,
183,Schweiz,
184,Deutschland,BRD
185,Österreich,
186,Deutschland,DDR
187,Deutschland,BRD
188,Schweiz,
189,Deutschland,BRD
190,Deutschland,BRD
191,Deutschland,BRD
192,Deutschland,BRD
193,Schweiz,
194,Deutschland,BRD
195,Schweiz,
196,Österreich,
197,Österreich,
198,Österreich,
199,Schweiz,
200,Schweiz,
201,Schweiz,
202,Österreich,
203,Deutschland,BRD
204,Deutschland,BRD
205,Schweiz,
206,Österreich,
207,Deutschland,DDR
208,Österreich,
209,Deutschland,BRD
210,Österreich,
211,Deutschland,BRD
