critic_id,first_name,middle_name,last_name,birth_place,birth_date,gender,country,works_as_critic,is_literary_scholar,is_writer
0,Burkhard,,Spinnen,Mönchengladbach,1956-12-28,male,Deutschland,True,True,True
1,Thomas,,Widmer,,1962-07-01,male,Schweiz,True,True,True
2,Birgit,,Vanderbeke,Dahme/Mark,1956-08-08,female,Deutschland,,,True
3,Konstanze,,Fliedl,Linz,1955-08-07,female,Österreich,,,True
4,Denis,,Scheck,Stuttgart,1964-12-15,male,Deutschland,True,True,
5,Elisabeth,,Bronfen,München,1958-04-23,female,Deutschland,,True,
6,Robert,,Schindel,Bad Hall,1944-04-04,male,Österreich,False,False,True
7,Pia,,Reinacher,Luzern,1954-07-01,female,Schweiz,True,True,
8,Ilma,,Rakusa,Rimavská Sobota (Slowakei),1946-01-02,female,Schweiz,,True,True
9,Ursula,,März,Herzogenaurach,1957-07-01,female,Deutschland,True,False,True
10,Norbert,,Miller,München,1937-05-14,male,Deutschland,,True,
11,Daniela,,Strigl,Wien,1964-07-01,female,Österreich,True,True,False
12,Iris,,Radisch,Berlin,1959-07-02,female,Deutschland,True,False,True
13,Friederike,,Kretzen,Leverkusen,1956-07-20,female,Deutschland,,False,True
14,Josef,,Haslinger,Zwettl,1955-07-05,male,Österreich,,True,True
15,Thomas,,Steinfeld,Leverkusen,1954-05-02,male,Deutschland,True,True,True
16,Klaus,,Nüchtern,Linz,1961-11-20,male,Österreich,True,False,True
17,Martin,,Ebel,Köln,1955-07-01,male,Schweiz,True,,
18,Heinrich,,Detering,Neumünster,1959-11-01,male,Deutschland,,True,True
19,Karl,,Corino,Ehingen/Mittelfranken,1942-11-12,male,Deutschland,True,False,True
20,Ijoma,,Mangold,Heidelberg,1971-03-02,male,Deutschland,True,False,True
21,André,Vladimir,Heiz,Langenthal,1951-08-27,male,Schweiz,False,True,True
22,Alain,Claude,Sulzer,Riehen,1953-02-17,male,Schweiz,False,False,True
23,Paul,,Jandl,Wien,1962-07-01,male,Österreich,True,True,False
24,Hildegard,Elisabeth,Keller,St. Gallen,1960-07-01,female,Schweiz,True,True,True
25,Meike,,Feßmann,München,1961-07-01,female,Deutschland,True,False,True
26,Karin,,Fleischanderl,Steyr,1960-12-29,female,Österreich,False,False,True
27,Hubert,,Winkels,Gohr bei Düsseldorf,1955-05-13,male,Deutschland,True,True,True
28,Corina,,Caduff,Chur,1965-07-01,female,Schweiz,True,True,True
29,Juri,,Steiner,Lausanne,1969-07-01,male,Schweiz,True,,
30,Arno,,Dusini,Meran,1962-07-01,male,Österreich,,True,
31,Stefan,,Gmünder,Bern,1965-07-01,male,Schweiz,True,,
32,Klaus,,Kastberger,Gmunden,1963-04-19,male,Österreich,True,True,
33,Sandra,,Kegel,Frankfurt/Main,1970-09-03,female,Deutschland,True,False,False
34,Michael,,Wiederstein,Gummersbach,1983-07-01,male,Deutschland,True,False,False
35,Insa,,Wilke,Bremerhaven,1978-07-01,female,Deutschland,True,True,False
36,Nora,,Gomringer,Neunkirchen/Saar,1980-01-26,female,Deutschland,False,False,True
37,Brigitte,,Schwens-Harrant,Wels,1967-07-01,female,Österreich,True,True,
38,Philipp,,Tingler,Berlin,1970-07-01,male,Schweiz,True,False,True
