critic_id,name,first_name,middle_name,last_name
0,Rolf Becker,Rolf,,Becker
1,Humbert Fink,Humbert,,Fink
2,Gertrud Fussenegger,Gertrud,,Fussenegger
3,Peter Härtling,Peter,,Härtling
4,Alfred Kolleritsch,Alfred,,Kolleritsch
5,Rudolf Walter Leonhardt,Rudolf,Walter,Leonhardt
6,Kuno Raeber,Kuno,,Raeber
7,Marcel Reich-Ranicki,Marcel,,Reich-Ranicki
8,Manès Sperber,Manès,,Sperber
9,Friedrich Torberg,Friedrich,,Torberg
10,Heinrich Vormweg,Heinrich,,Vormweg
11,Hans Weigel,Hans,,Weigel
12,Ernst Willner,Ernst,,Willner
13,Kurt Kahl,Kurt,,Kahl
14,Adolf Muschg,Adolf,,Muschg
15,Hilde Spiel,Hilde,,Spiel
16,Wolfgang Werth,Wolfgang,,Werth
17,Ernst Willer,Ernst,,Willer
18,Alois Brandstetter,Alois,,Brandstetter
19,Walter Jens,Walter,,Jens
20,Joachim Kaiser,Joachim,,Kaiser
21,Otto F. Walter,Otto,F.,Walter
22,Ulrich Greiner,Ulrich,,Greiner
23,Günter Kunert,Günter,,Kunert
24,Klara Obermüller,Klara,,Obermüller
25,Hans J. Fröhlich,Hans,J.,Fröhlich
26,Gerd Ueding,Gerd,,Ueding
27,Ulrich Weinzierl,Ulrich,,Weinzierl
28,Martin Gregor-Dellin,Martin,,Gregor-Dellin
29,Walter Hinck,Walter,,Hinck
30,Barbara Mantler-Bondy,Barbara,,Mantler-Bondy
31,Sylvia Patsch,Sylvia,,Patsch
32,Gert Ueding,Gert,,Ueding
33,Wolfgang Kraus,Wolfgang,,Kraus
34,Manfred Mixner,Manfred,,Mixner
35,Friederike Roth,Friederike,,Roth
36,Ingeborg Drewitz,Ingeborg,,Drewitz
37,Peter Demetz,Peter,,Demetz
38,Roman Rocek,Roman,,Rocek
39,Manfred Dierks,Manfred,,Dierks
40,Jörg Drews,Jörg,,Drews
41,Eckhard Henscheid,Eckhard,,Henscheid
42,Hellmuth Karasek,Hellmuth,,Karasek
43,Werner Liersch,Werner,,Liersch
44,Sigrid Löffler,Sigrid,,Löffler
45,Volkmar Parschalk,Volkmar,,Parschalk
46,Helga Schubert-Helm,Helga,,Schubert-Helm
47,Reinhardt Stumm,Reinhardt,,Stumm
48,Herbert Zeman,Herbert,,Zeman
49,Volker Hage,Volker,,Hage
50,Andreas Isenschmid,Andreas,,Isenschmid
51,Urs Jaeggi,Urs,,Jaeggi
52,Gisela Lindemann,Gisela,,Lindemann
53,Gerhard Melzer,Gerhard,,Melzer
54,Helga Schubert,Helga,,Schubert
55,Karl Corino,Karl,,Corino
56,Werner Krause,Werner,,Krause
57,Peter von Matt,Peter,von,Matt
58,Heinz Schwarzinger,Heinz,,Schwarzinger
59,Marlis Gerhardt,Marlis,,Gerhardt
60,Nils Jensen,Nils,,Jensen
61,Roberto Cazzola,Roberto,,Cazzola
62,Wolf Donner,Wolf,,Donner
63,Stefan Richter,Stefan,,Richter
64,Klaus Amann,Klaus,,Amann
65,Verena Auffermann,Verena,,Auffermann
66,Jurek Becker,Jurek,,Becker
67,Konstanze Fliedl,Konstanze,,Fliedl
68,Angela Praesent,Angela,,Praesent
69,Wilfried Schoeller,Wilfried,,Schoeller
70,Maxim Biller,Maxim,,Biller
71,Iso Camartin,Iso,,Camartin
72,Werner Fuld,Werner,,Fuld
73,Wilfrted Schoeller,Wilfrted,,Schoeller
74,Hans Christoph Buch,Hans,Christoph,Buch
75,Andreas Isenchmid,Andreas,,Isenchmid
