year,critic_id,living_place,is_chairman,got_sick
1977,0,Hamburg,,
1977,1,Klagenfurt,,
1977,2,Leonding b.Linz,,
1977,3,Walldorf,,
1977,4,Graz,,
1977,5,Hamburg,,
1977,6,München,,
1977,7,Frankfurt/Main,,
1977,8,Paris,,
1977,9,Breitenfurt b.Wien,,
1977,10,Köln-Longerich,,
1977,11,Maria Enzersdorf b.Wien,,
1977,12,Klagenfurt,,
1978,0,Hamburg,,
1978,1,Klagenfurt,,
1978,2,Leonding,,
1978,3,Frankfurt/Main,,
1978,5,Hamburg,,
1978,7,Frankfurt/Main,,
1978,10,Köln,,
1978,11,Maria Enzersdorf,,
1978,13,Wien,,
1978,14,Zürich,,
1978,15,Wien,,
1978,16,München,,
1978,17,Klagenfurt,,
1979,0,Hamburg,,
1979,1,Klagenfurt,,
1979,2,Leonding,,
1979,5,Hamburg,,
1979,7,Frankfurt/Main,,
1979,10,Köln,,
1979,12,Klagenfurt,,
1979,13,Wien,,
1979,15,Wien,,
1979,18,Klagenfurt,,
1979,19,Tübingen,,
1979,20,München,,
1979,21,Oberbipp,,
1980,1,Maria Saal,,
1980,3,Frankfurt/Main,,
1980,7,Frankfurt/Main,,
1980,12,Maria Saal,,
1980,14,Kilchberg,,
1980,15,Wien,,
1980,19,Tübingen,,
1980,20,München,,
1980,22,Hamburg,,
1980,23,Itzehoe-Edendorf,,
1980,24,Zürich,,
1981,1,Klagenfurt,,
1981,3,Frankfurt/Main,,
1981,7,Frankfurt/Main,,
1981,10,Köln,,
1981,12,Klagenfurt,,
1981,14,Zürich,,
1981,19,Tübingen,,
1981,24,Zürich,,
1981,25,München,,
1981,26,Ildenburg,,
1981,27,Wien,,
1982,0,Hamburg,,
1982,1,Maria Saal,,
1982,7,Frankfurt/Main,,
1982,10,Köln,,
1982,12,Maria Saal,,
1982,28,Gröbenzell,,
1982,29,Hoffnungsthal,,
1982,30,München,,
1982,31,Innsbruck,,
1982,32,Oldenburg,,
1983,0,Hamburg,,
1983,1,Klagenfurt,,
1983,7,Frankfurt/Main,,
1983,10,Köln,,
1983,19,Tübingen,,
1983,24,Zollikon,,
1983,27,Wien,,
1983,28,Gröbenzell,,
1983,29,Rösrath,,
1983,32,Oldenburg,,
1984,1,Maria Saal,,
1984,2,Leonding,,
1984,3,Mörfelden-Walldorf,,
1984,7,Frankfurt/Main,,
1984,19,Tübingen,,
1984,24,Zollikon,,
1984,28,Gröbenzell,,
1984,29,Rösrath,,
1984,33,Wien,,
1984,34,Graz,,
1984,35,Stuttgart,,
1985,1,Maria Saal,,
1985,2,Leonding/Linz,,
1985,3,Mörfelden/Walldorf,,
1985,7,Frankfurt/Main,,
1985,10,Köln,,
1985,20,München,,
1985,24,Zollikon,,
1985,28,Gröbenzell,,
1985,32,Tübingen,,
1985,34,Wien,,
1985,36,Berlin,,
1986,1,Maria Saal,,
1986,3,Mörfelden-Walldorf,,
1986,7,Frankfurt/Main,,
1986,10,Köln,,
1986,14,Kilchberg,,
1986,19,Tübingen,,True
1986,24,Zürich,,
1986,29,Roesrath/Hoffnungsthal,,
1986,32,Tübingen,,
1986,37,New Haven (USA),,
1986,38,Wien,,
1987,37,New Haven (USA),,
1987,39,Bad Zwischenahn-Ofen,,
