critic_id,first_name,middle_name,last_name,birth_place,birth_date,gender,country,works_as_critic,is_literary_scholar,is_writer
0,Rolf,,Becker,,,,,,,
1,Humbert,,Fink,,,,,,,
2,Gertrud,,Fussenegger,,,,,,,
3,Peter,,Härtling,,,,,,,
4,Alfred,,Kolleritsch,,,,,,,
5,Rudolf,Walter,Leonhardt,,,,,,,
6,Kuno,,Raeber,,,,,,,
7,Marcel,,Reich-Ranicki,,,,,,,
8,Manès,,Sperber,,,,,,,
9,Friedrich,,Torberg,,,,,,,
10,Heinrich,,Vormweg,,,,,,,
11,Hans,,Weigel,,,,,,,
12,Ernst,,Willner,,,,,,,
13,Kurt,,Kahl,,,,,,,
14,Adolf,,Muschg,,,,,,,
15,Hilde,,Spiel,,,,,,,
16,Wolfgang,,Werth,,,,,,,
17,Ernst,,Willer,,,,,,,
18,Alois,,Brandstetter,,,,,,,
19,Walter,,Jens,,,,,,,
20,Joachim,,Kaiser,,,,,,,
21,Otto,F.,Walter,,,,,,,
22,Ulrich,,Greiner,,,,,,,
23,Günter,,Kunert,,,,,,,
24,Klara,,Obermüller,,,,,,,
25,Hans,J.,Fröhlich,,,,,,,
26,Gerd,,Ueding,,,,,,,
27,Ulrich,,Weinzierl,,,,,,,
28,Martin,,Gregor-Dellin,,,,,,,
29,Walter,,Hinck,,,,,,,
30,Barbara,,Mantler-Bondy,,,,,,,
31,Sylvia,,Patsch,,,,,,,
32,Gert,,Ueding,,,,,,,
33,Wolfgang,,Kraus,,,,,,,
34,Manfred,,Mixner,,,,,,,
35,Friederike,,Roth,,,,,,,
36,Ingeborg,,Drewitz,,,,,,,
37,Peter,,Demetz,,,,,,,
38,Roman,,Rocek,,,,,,,
39,Manfred,,Dierks,,,,,,,
40,Jörg,,Drews,,,,,,,
41,Eckhard,,Henscheid,,,,,,,
42,Hellmuth,,Karasek,,,,,,,
43,Werner,,Liersch,,,,,,,
44,Sigrid,,Löffler,,,,,,,
45,Volkmar,,Parschalk,,,,,,,
46,Helga,,Schubert-Helm,,,,,,,
47,Reinhardt,,Stumm,,,,,,,
48,Herbert,,Zeman,,,,,,,
49,Volker,,Hage,,,,,,,
50,Andreas,,Isenschmid,,,,,,,
51,Urs,,Jaeggi,,,,,,,
52,Gisela,,Lindemann,,,,,,,
53,Gerhard,,Melzer,,,,,,,
54,Helga,,Schubert,,,,,,,
55,Karl,,Corino,Ehingen/Mittelfranken,1942-11-12,male,Deutschland,True,False,True
56,Werner,,Krause,,,,,,,
57,Peter,von,Matt,,,,,,,
58,Heinz,,Schwarzinger,,,,,,,
59,Marlis,,Gerhardt,,,,,,,
60,Nils,,Jensen,,,,,,,
61,Roberto,,Cazzola,,,,,,,
62,Wolf,,Donner,,,,,,,
63,Stefan,,Richter,,,,,,,
64,Klaus,,Amann,,,,,,,
65,Verena,,Auffermann,,,,,,,
66,Jurek,,Becker,,,,,,,
67,Konstanze,,Fliedl,Linz,1955-08-07,female,Österreich,,,True
68,Angela,,Praesent,,,,,,,
69,Wilfried,,Schoeller,,,,,,,
70,Maxim,,Biller,,,,,,,
71,Iso,,Camartin,,,,,,,
