author_id,goodreads_genre,total_publications,goodreads_followers,average_rating,ratings_count
0,,9,,3.33,9
1,,9,,3.2,5
2,,8,,3.23,43
3,,5,,4.83,12
4,,24,2,4.02,96
5,,5,,2.0,1
6,,1,,0.0,0
7,,9,,3.78,214
8,,1,,0.0,0
9,,4,,3.25,4
10,,4,1,4.33,3
11,,2,,1.0,1
12,,8,,3.31,16
13,Poetry|Theater,20,6,3.77,301
14,,15,3,3.73,22
15,,28,,4.12,119
16,,3,,4.0,2
17,,6,,3.0,1
18,,1,,2.0,1
19,,48,,3.79,554
20,,15,8,3.04,184
21,,2,,2.0,1
22,,55,,3.84,31
23,,1,,2.14,7
24,,5,,3.67,3
25,,10,,2.67,3
26,,2,,0.0,0
27,,2,,0.0,0
28,,1,,0.0,0
29,Literature & Fiction,20,4,3.35,2448
30,,9,4,3.0,15
31,,62,26,3.81,1404
32,,1,,4.0,1
33,,7,,3.33,3
34,,21,,3.03,164
35,Poetry|Fiction,14,,2.76,51
36,,18,5,3.84,215
37,,14,2,4.11,472
38,,2,1,0.0,0
40,,12,,2.73,11
41,,0,0,0.0,0
42,Fiction,17,1,3.48,23
43,,16,1,4.15,13
44,,8,4,3.77,230
45,,4,,0.0,0
46,Literature & Fiction,28,3,3.92,59
47,Literature & Fiction|Biographies & Memoirs,26,,3.49,76
48,,30,0,4.1,10
49,,2,,0.0,0
50,Fiction,29,18,3.62,454
51,,13,1,3.81,27
52,,34,,5.0,1
53,,4,,0.0,0
54,,3,,5.0,1
55,,0,,0.0,0
56,,3,1,3.2,5
57,,8,0,2.0,2
58,,3,2,1.0,1
59,Children's Books|Literature & Fiction,35,1,3.56,322
60,,4,0,3.0,3
61,,2,,3.0,1
62,,0,,0.0,0
63,Literature & Fiction,24,7,3.65,310
64,,30,5,3.52,530
65,,10,1,3.11,9
66,,0,,0.0,0
67,,1,0,4.0,1
68,,0,0,0.0,0
69,,1,,0.0,0
70,,13,,3.63,75
71,,0,0,0.0,0
72,Literature & Fiction,9,,4.0,8
73,Literature & Fiction,34,21,3.78,2899
74,,9,2,3.6,5
75,,8,1,5.0,1
76,,5,,3.91,11
77,,3,,2.67,3
78,,2,1,0.0,0
79,Literature & Fiction,17,32,3.88,3037
80,,25,3,3.23,124
81,,16,,3.77,13
82,Fiction,40,13,2.86,205
83,,39,18,3.47,841
84,Romance|Historical Fiction,5,1,4.08,78
85,,0,,0.0,0
86,,8,1,4.29,17
87,,3,,0.0,0
88,,28,,5.0,1
89,,0,,0.0,0
90,,3,,3.33,3
91,,2,,0.0,0
92,,1,,0.0,0
93,Nonfiction|Literature & Fiction,45,2,3.6,73
94,,3,,5.0,1
95,,1,,3.0,1
96,,1,0,3.0,1
97,,4,,2.33,3
99,,5,,0.0,0
100,,29,5,3.41,279
101,,3,,0.0,0
103,,9,1,3.84,19
104,,15,1,3.29,28
105,,19,1,2.87,60
106,,0,,0.0,0
107,,2,,0.0,0
108,,44,,3.79,211
109,Home & Garden|Travel|Short Stories,31,1,3.49,80
110,,1,,0.0,0
111,,13,,3.48,23
112,,0,,0.0,0
113,,7,,3.0,3
114,,0,,0.0,8
116,,7,,4.1,10
117,,47,11,3.62,420
118,,27,,2.85,20
119,,6,1,3.75,4
120,,19,,3.0,1
122,,2,,4.2,10
123,,7,2,3.63,19
124,,1,,3.33,3
125,,15,6,3.38,56
126,,19,5,3.75,4
128,,15,,3.13,8
129,Fiction,6,1,3.89,9
130,,0,,0.0,0
131,,2,,4.0,2
132,,8,1,3.0,4
133,,22,1,3.75,20
134,,13,,3.8,5
135,,3,,3.0,1
136,,4,,2.0,1
137,,4,,3.22,9
138,,13,,3.67,6
141,,5,1,4.0,1
142,,0,,0.0,0
143,Art|Fiction,10,1,4.29,201
144,,9,,3.35,23
145,,1,,2.67,3
146,,32,3,3.7,169
147,,5,,0.0,0
148,,1,,0.0,0
149,,1,9,4.26,693
150,,9,,3.25,12
151,,3,1,0.0,0
152,,8,,3.33,3
153,,12,,3.69,26
154,,3,,0.0,0
155,,9,2,3.86,21
156,,9,,3.6,10
157,Contemporary,11,5,4.0,19
158,,22,,3.72,29
159,,25,40,3.8,971
160,,41,,3.51,69
161,,8,,3.32,22
162,,5,,3.33,3
163,,0,,0.0,0
164,,6,,1.2,5
165,,2,,4.0,1
166,,25,3,3.37,290
167,Literature & Fiction|Religion & Spirituality,49,55,3.66,620
168,,0,0,0.0,0
169,,12,3,3.96,77
170,,11,0,2.86,22
171,,21,,4.22,18
172,,35,1,3.4,92
173,,11,,3.86,7
174,,1,,4.17,23
175,,27,1,3.54,180
176,Young Adult|Children's,15,,2.96,23
177,,4,,2.77,13
178,,1,,0.0,0
179,,8,,3.85,65
180,,2,1,4.0,1
181,,35,3,3.68,16
182,,11,1,3.46,24
184,,5,,4.0,5
185,,1,,3.5,2
186,,1,,3.83,18
187,,3,,3.67,3
188,,3,,3.0,3
189,Fiction,78,62,3.78,3256
190,,5,,3.0,2
191,Fiction|Nonfiction,16,4,3.79,415
192,Fiction,34,17,3.91,745
194,,5,,4.5,2
195,,9,,2.5,2
196,,6,,4.5,6
197,,0,0,0.0,0
198,,2,,3.5,2
199,,8,,3.0,1
200,,1,,0.0,0
203,,3,0,0.0,0
204,,1,,3.0,2
205,,1,,0.0,0
206,,9,,4.63,8
207,,9,1,4.2,15
208,Contemporary|Historical Fiction,68,1,4.11,377
209,Fiction|Nonfiction|Translation,11,,3.18,57
210,,7,1,3.91,3219
211,,1,,4.0,3
212,,6,,4.0,1
213,Fiction|Historical Fiction|Poetry,12,2,3.5,218
214,,1,,2.0,1
