author_id,author_name,total_publications,goodreads_followers,average_rating,ratings_count
0,Reto Hänny,9,0,1.7033333333333334,9
1,Jost Perfahl,9,0,2.033333333333333,416
2,Elisabeth Plessen,8,0,2.0025,51
3,Vintila Ivanceanu,5,0,2.91,12
4,Horst Bienek,24,2,4.248,84
5,Renate Schostack,5,0,0.4,1
6,Klaus Stiller,1,0,0.0,0
7,Maria Elisabeth Straub,9,0,2.4655555555555555,228
8,Hans-Jürgen Fröhlich,1,0,0.0,0
9,Herbert Eisenreich,4,0,0.8125,4
10,Marie-Thérèse Kerschbaumer,4,1,2.125,3
11,Uwe Bolius,2,0,0.5,1
12,Karin Struck,8,0,1.22875,16
13,Gert Jonke,20,6,3.987,284
14,Jürg Laederach,15,3,1.929,22
15,Dieter Kühn,28,0,3.29,116
16,Peter Schalmey,3,0,1.3333333333333333,2
17,Godehard Schramm,6,0,0.5,1
18,Heinz Pototschnig,1,0,2.0,1
19,Gerhard Meier,48,0,4.504,86
20,Walter Kappacher,15,8,3.724,181
21,Hermann Friedl,2,0,1.0,1
22,Rolf Schneider,55,0,4.008,21
23,O. P. Zier,1,0,2.14,7
24,Hannelies Taschau,5,0,1.3,3
25,Helga Schütz,10,0,0.8,3
26,Jutta Schutting,2,0,0.0,0
27,Eva Schindler,2,0,0.0,0
28,Peter Renz,1,0,0.0,0
29,Ulrich Plenzdorf,20,4,3.586,2366
30,Erika Pedretti,9,4,1.8177777777777777,15
31,Hanns-Josef Ortheil,62,26,3.691,1035
32,Engelbert Obernosterer,1,0,4.0,1
33,E. Y. Meyer,7,0,1.9485714285714286,14
34,Angelika Mechtel,21,0,3.925,154
35,Gertrud Leutenegger,14,0,2.597,50
36,Ursula Krechel,18,5,2.321,210
37,Hermann Kinder,4,1,3.1100000000000003,463
38,Christine Haidegger,2,1,0.0,0
40,Christoph Geiser,12,0,1.88,11
41,Herbert Fleck,1,0,4.0,1
42,Ludwig Fels,17,1,2.907,19
43,Helmut Eisendle,16,1,2.117,10
44,Jeannie Ebner,66,2620,3.91,290198
45,Catarina Carsten,4,0,0.0,0
46,Hermann Burger,28,3,3.938,55
47,Katja Behrens,26,0,2.8,46
48,Walter Müller,10,3,1.971,401
49,Gerald Zschorsch,2,0,0.0,0
50,Josef Winkler,29,18,3.796,382
51,Erich Wolfgang Skwara,13,1,2.211,311
52,Doris Richter,34,0,0.5,1
53,Ernst Nowak,4,0,0.0,0
54,Dorothea Macheiner,3,0,1.6666666666666667,1
55,Martin Luksan,6,0,0.0,0
56,Klaus Konjetzky,3,1,1.0666666666666667,5
57,Paul Kersten,6,18,2.855,359
58,Diana Kempff,3,2,0.3333333333333333,1
59,Hanna Johansen,35,1,3.912,297
60,Katrine von Hutten,138,620,3.845,30680
61,Karl Günther Hufnagel,2,0,1.5,1
62,Heribert Hopf,4,0,3.0,7
63,Gert Hofmann,24,7,3.695,297
64,Lukas Hartmann,30,5,3.431,394
65,Marianne Gruber,10,1,1.483,9
66,Markus Fenner,1,0,0.0,0
67,Maria Felsenreich,339,4334,3.898,244512
68,Gunter Falk,92,4,3.979,176
69,Ernst-Jürgen Dreyer,1,0,0.0,0
70,Helmut Degner,13,0,3.939,94452
71,Jan Christ,8,26,2.87,2503
72,Franz Böni,9,0,2.741111111111111,8
73,Jurek Becker,34,21,3.902,2546
74,Peter Roos,4,0,0.8325,3
75,Martin Roda Becher,8,1,0.625,1
76,Renate Rasp,5,0,2.0220000000000002,11
