author_id,author_name,goodreads_name,goodreads_genre,total_publications,goodreads_followers,average_rating,ratings_count
0,Reto Hänny,Reto Hänny,,9,,3.33,9
1,Jost Perfahl,Jost Perfahl,,9,,3.2,5
2,Elisabeth Plessen,Elisabeth Plessen,,8,,3.23,43
3,Vintila Ivanceanu,Vintilă Ivănceanu,,5,,4.83,12
4,Horst Bienek,Horst Bienek,,24,2,4.02,96
5,Renate Schostack,Renate Schostack,,5,,2.0,1
6,Klaus Stiller,Klaus Stiller,,1,,0.0,0
7,Maria Elisabeth Straub,Maria Elisabeth Straub,,9,,3.78,214
8,Hans-Jürgen Fröhlich,Hans Jürgen Fröhlich,,1,,0.0,0
9,Herbert Eisenreich,Herbert Eisenreich,,4,,3.25,4
10,Marie-Thérèse Kerschbaumer,Marie-Therese Kerschbaumer,,4,1,4.33,3
11,Uwe Bolius,Uwe Bolius,,2,,1.0,1
12,Karin Struck,Karin Struck,,8,,3.31,16
13,Gert Jonke,Gert Jonke,Poetry|Theater,20,6,3.77,301
14,Jürg Laederach,Jürg Laederach,,15,3,3.73,22
15,Dieter Kühn,Dieter Kuhn,,28,,4.12,119
16,Peter Schalmey,Peter Schalmey,,3,,4.0,2
17,Godehard Schramm,Godehard Schramm,,6,,3.0,1
18,Heinz Pototschnig,Heinz Pototschnig,,1,,2.0,1
19,Gerhard Meier,Gerhard Meier,,48,,3.79,554
20,Walter Kappacher,Walter Kappacher,,15,8,3.04,184
21,Hermann Friedl,Hermann Friedl,,2,,2.0,1
22,Rolf Schneider,Rolf Schneider,,55,,3.84,31
23,O. P. Zier,O.P. Zier,,1,,2.14,7
24,Hannelies Taschau,Hannelies Taschau,,5,,3.67,3
25,Helga Schütz,Helga Schütz,,10,,2.67,3
26,Jutta Schutting,Jutta Schütt,,2,,0.0,0
27,Eva Schindler,Eva Schindler-Rainman,,2,,0.0,0
28,Peter Renz,Hans Peter Renz,,1,,0.0,0
29,Ulrich Plenzdorf,Ulrich Plenzdorf,Literature & Fiction,20,4,3.35,2448
30,Erika Pedretti,Erica Pedretti,,9,4,3.0,15
31,Hanns-Josef Ortheil,Hanns-Josef Ortheil,,62,26,3.81,1404
32,Engelbert Obernosterer,Engelbert Obernosterer,,1,,4.0,1
33,E. Y. Meyer,E.Y. Meyer,,7,,3.33,3
34,Angelika Mechtel,Angelika Mechtel,,21,,3.03,164
35,Gertrud Leutenegger,Gertrud Leutenegger,Poetry|Fiction,14,,2.76,51
36,Ursula Krechel,Ursula Krechel,,18,5,3.84,215
37,Hermann Kinder,Werner Hilgemann,,4,1,4.19,431
38,Christine Haidegger,Christine Haidegger,,2,1,0.0,0
40,Christoph Geiser,Christoph Geiser,,12,,2.73,11
41,Herbert Fleck,George Russel,,1,,4.0,1
42,Ludwig Fels,Ludwig Fels,Fiction,17,1,3.48,23
43,Helmut Eisendle,Helmut Eisendle,,16,1,4.15,13
44,Jeannie Ebner,Richard Bach,Literature & Fiction,66,2620,3.91,296055
45,Catarina Carsten,Catarina Carsten,,4,,0.0,0
46,Hermann Burger,Hermann Burger,Literature & Fiction,28,3,3.92,59
47,Katja Behrens,Katja Behrens,Literature & Fiction|Biographies & Memoirs,26,,3.49,76
48,Walter Müller,Robert Dodaro,,10,3,4.15,112
49,Gerald Zschorsch,Gerald K. Zschorsch,,2,,0.0,0
50,Josef Winkler,Josef Winkler,Fiction,29,18,3.62,454
51,Erich Wolfgang Skwara,Erich Wolfgang Skwara,,13,1,3.81,27
52,Doris Richter,Doris Richter,,34,,5.0,1
53,Ernst Nowak,Ernst Nowak,,4,,0.0,0
54,Dorothea Macheiner,Dorothea Macheiner,,3,,5.0,1
55,Martin Luksan,Martin Lussan,,6,,0.0,0
56,Klaus Konjetzky,Klaus Konjetzky,,3,1,3.2,5
57,Paul Kersten,Gunther Verheyen,Business,6,18,4.28,359
58,Diana Kempff,Diana Kempff,,3,2,1.0,1
59,Hanna Johansen,Hanna Johansen,Children's Books|Literature & Fiction,35,1,3.56,322
60,Katrine von Hutten,Eudora Welty,Literature & Fiction|Art & Photojournalism,138,620,3.87,46008
61,Karl Günther Hufnagel,Karl Gunther Hufnagel,,2,,3.0,1
62,Heribert Hopf,Heribert Hofer,,4,,3.6,5
63,Gert Hofmann,Gert Hofmann,Literature & Fiction,24,7,3.65,310
64,Lukas Hartmann,Lukas Hartmann,,30,5,3.52,530
65,Marianne Gruber,Marianne Gruber,,10,1,3.11,9
66,Markus Fenner,Markus Zenner,,1,,0.0,0
67,Maria Felsenreich,Graham Greene,Fiction|Thriller|Memoir,339,4334,3.88,298629
68,Gunter Falk,Janet Hutchings,Mystery,92,4,4.01,511
69,Ernst-Jürgen Dreyer,Ernst-Jurgen Dreyer,,1,,0.0,0
70,Helmut Degner,Helmut Degner,,13,,3.63,75
71,Jan Christ,Jane Christmas,,8,26,3.52,2503
72,Franz Böni,Franz Böni,Literature & Fiction,9,,4.0,8
73,Jurek Becker,Jurek Becker,Literature & Fiction,34,21,3.78,2899
74,Peter Roos,Peter De Roo,,4,,3.33,3
75,Martin Roda Becher,Martin Roda Becher,,8,1,5.0,1
76,Renate Rasp,Renate Rasp,,5,,3.91,11
77,Ingrid Puganigg,Ingrid Puganigg,,3,,2.67,3
78,Edwin Ortmann,Edwin Ortmann,,2,1,0.0,0
79,Sten Nadolny,Sten Nadolny,Literature & Fiction,17,32,3.88,3037
80,Klaus Merz,Klaus Merz,,25,3,3.23,124
81,Jürgen Lodemann,Jürgen Lodemann,,16,,3.77,13
82,Brigitte Kronauer,Brigitte Kronauer,Fiction,40,13,2.86,205
83,Bodo Kirchhoff,Bodo Kirchhoff,,39,18,3.47,841
84,Anna Jonas,Anna Jonas,Romance|Historical Fiction,5,1,4.08,78
85,Margarete Jehn,Margarete Jahn,,2,,0.0,0
86,Martin Grzimek,Martin Grzimek,,8,1,4.29,17
87,Henning Grunwald,Henning Grunwald,,3,,0.0,0
88,Anton Fuchs,Anton Fuchs,,28,,5.0,1
89,Waltraud Friz,Waltraud Friedrich,,1,,2.0,1
90,Roderich Feldes,Roderich Feldes,,3,,3.33,3
91,Hans Drawe,Hans Drawe,,2,,0.0,0
92,Margrit von Dach,Yla Margrit von Dach,,1,,0.0,0
93,Hans Christoph Buch,Hans Christoph Buch,Nonfiction|Literature & Fiction,45,2,3.6,73
94,Margrit Baur,Margrit Baur,,3,,5.0,1
95,Elisabeth Albertsen,Elisabeth Albertsen,,1,,3.0,1
96,Ursula Adam,John Joseph Adams,Science Fiction & Fantasy|Horror,297,810,3.95,75489
97,Maja Beutler,Maja Beutler,,4,,2.33,3
99,Elisabeth Meylan,Elisabeth Meylan,,5,,0.0,0
100,Thomas Hürlimann,Thomas Hürlimann,,29,5,3.41,279
101,Frank-Wolf Matthies,Frank-Wolf Matthies,,3,,0.0,0
103,Adelheid Duvanel,Adelheid Duvanel,,9,1,3.84,19
104,Klaus Hoffer,Klaus Hoffer,,15,1,3.29,28
105,Joseph Zoderer,Joseph Zoderer,,19,1,2.87,60
106,Gisela Zies,Gisela Riescher,,11,,4.0,3
107,Pierre Imhasly,Pierre Imhasly,,2,,0.0,0
108,Andreas Nohl,Andreas Nohl,,44,,3.79,211
109,Eva Demski,Eva Demski,Home & Garden|Travel|Short Stories,31,1,3.49,80
110,Christoph Burgauner,Christoph Burgauner,,1,,0.0,0
111,Margrit Schriber,Margrit Schriber,,13,,3.48,23
112,Dominik Brun,Brunner Dominik,,3,,0.0,0
113,Urs Jaeggi,Urs Jaeggi,,7,,3.0,3
114,Günter Hein,Heinz-Günter Vester,,8,,4.0,8
116,Elfriede Czurda,Elfriede Czurda,,7,,4.1,10
117,Ilma Rakusa,Ilma Rakusa,,47,11,3.62,420
118,Ulrich Schacht,Ulrich Schacht,,27,,2.85,20
119,Rolf Niederhauser,Rolf Niederhauser,,6,1,3.75,4
120,Michael Rößner,Michael Rössner,,19,,3.0,1
122,Pascal Morché,Pascal Morche,,2,,4.2,10
123,Guntram Vesper,Guntram Vesper,,7,2,3.63,19
124,Emil Zopfi,Zopfi Emil,,1,,3.33,3
125,Matthias Zschokke,Matthias Zschokke,,15,6,3.38,56
126,Michael Zeller,Guillaume Zeller,,8,2,4.25,92
128,Uwe Wolff,Uwe Wolff,,15,,3.13,8
129,Johanna Walser,Johanna Walser,Fiction,6,1,3.89,9
130,Walter Vogl,Stephan Günzel,,9,,4.0,14
131,Lothar Schöne,Lothar Schöne,,2,,4.0,2
132,Erasmus Schöfer,Erasmus Schöfer,,8,1,3.0,4
133,Einar Schleef,Einar Schleef,,22,1,3.75,20
134,Gerald Szyszkowitz,Gerald Szyszkowitz,,13,,3.8,5
135,Udo Rabsch,Udo Oskar Rabsch,,3,,3.0,1
136,Jochen Link,Jochen Link,,4,,2.0,1
137,Friedrich Wilhelm Korff,Friedrich Wilhelm Korff,,4,,3.22,9
138,Walter Klier,Walter Klier,,13,,3.67,6
141,Alfred Gulden,Alfred Gulden,,5,1,4.0,1
142,Robert Gratzer,Robert Glatzer,,2,,3.21,24
143,Wolfgang Georg Fischer,Wolfgang Georg Fischer,Art|Fiction,10,1,4.29,201
144,Ulla Berkéwicz,Ulla Berkéwicz,,9,é,3.35,23
145,Birgitta Arens,Birgitta Arens,,1,,2.67,3
146,Jürg Amann,Jürg Amann,,32,3,3.7,169
147,Eva Maria Alves,Vanessa Oliveira,,11,,4.36,72
148,Andrea Wolfmayr,Andrea Wolfmayr,,1,,0.0,0
149,Michael Schneider,Michael S. Schneider,,1,9,4.26,693
150,Friederike Roth,Friederike Roth,,9,,3.25,12
151,Uwe Herms,Uwe Herms,,3,1,0.0,0
152,Karin Reschke,Karin Reschke,,8,,3.33,3
153,Bettina Blumenberg,Bettina Blumenberg,,12,,3.69,26
154,Gudrun Brug,Dawn Baumann Brunke,Nonfiction,18,,4.39,112
155,Jochen Missfeldt,Jochen Missfeldt,,9,2,3.86,21
156,Bodo Morshäuser,Bodo Morshäuser,,9,,3.6,10
157,Alban Nikolai Herbst,Alban Nikolai Herbst,Contemporary,11,5,4.0,19
158,Zsuzsanna Gahse,Zsuzsanna Gahse,,22,,3.72,29
159,Rainald Goetz,Rainald Goetz,,25,40,3.8,971
160,Wolfgang Held,Wolfgang Held,,41,,3.51,69
161,Gerhard Köpf,Gerhard Kopf,,8,,3.32,22
162,Roland Lang,Roland A. Lange,,3,,3.57,56
163,Romie Lie,Romie F Littrell,,1,,0.0,0
164,Lisa Witasek,Lisa Witasek,,6,,1.2,5
165,Birgit Pausch,Birgit Pausch,,2,,4.0,1
166,Hansjörg Schertenleib,Hansjörg Schertenleib,,25,3,3.37,290
167,Martin Mosebach,Martin Mosebach,Literature & Fiction|Religion & Spirituality,49,55,3.66,620
168,Wolfgang Linder,Kurt Tepperwein,,255,8,3.78,228
169,Libuše Moníková,Libuše Moníková,,12,íá3,3.96,77
170,Martin R. Dean,Mike Resnick,Science Fiction & Fantasy|Nonfiction,688,478,3.8,81475
171,Frank Werner,Frank Werner,,21,,4.22,18
173,Erich Loest,Erich Loest,,35,1,3.4,92
174,Gabrielle Weigand,Gabriele Weigand,,11,,3.86,7
175,Peter Weibel,Peter  Weibel,,1,,4.17,23
176,Keto von Waberer,Keto von Waberer,,27,1,3.54,180
177,Ralf Thenior,Ralf Thenior,Young Adult|Children's,15,,2.96,23
178,Thomas Strittmatter,Thomas Strittmatter,,4,,2.77,13
179,Harald Strätz,Harald Strutz,,1,,0.0,0
180,Beat Sterchi,Beat Sterchi,,8,,3.85,65
181,Kristin T. Schnider,Kristin T. Schnider,,2,1,4.0,1
182,Eva Schmidt,Heike Eva Schmidt,,13,,3.83,501
183,Evelyn Schlag,Evelyn Schlag,,11,1,3.46,24
185,Erica Pedretti,Erica Pedretti,,9,4,3.0,15
186,Helen Meier,Helen Meier,,5,,4.0,5
187,Norbert Loacker,Norbert Loacker,,1,,3.5,2
188,Hans-Jürgen Kühn,D.K.,,1,,3.83,18
189,Jörg Krichbaum,Jorg Krichbaum,,3,,3.67,3
190,Marcel Konrad,Marcela Václavková Konrádová,,3,áááá,3.0,3
191,Michael Köhlmeier,Michael Köhlmeier,Fiction,78,62,3.78,3256
192,Wolfgang Hegewald,Wolfgang Hegewald,,5,,3.0,2
193,Josef Haslinger,Josef Haslinger,Fiction|Nonfiction,16,4,3.79,415
194,Jörg Fauser,Jörg Fauser,Fiction,34,17,3.91,745
196,Gerd-Peter Eigner,Gerd-Peter Eigner,,5,,4.5,2
197,Jochen Beyse,Jochen Beyse,,9,,2.5,2
198,Ginka Steinwachs,Ginka Steinwachs,,6,,4.5,6
199,Angelika Stark,Angelika Starkl,,1,1,0.0,0
200,Heinz Stalder,Heinz Stalder,,2,,3.5,2
201,Joachim Scholz,Joachim Scholz,,8,,3.0,1
202,Hartmut Riederer,Reinhard P. Gruber,,11,,3.89,63
205,Linda Pfeiffer,Ingrid Pfeiffer,,28,2,4.29,68
206,Waltraud Anna Mitgutsch,Waltraud Anna Mitgutsch,,1,,3.0,2
207,Hans Meyer-Hörstgen,Hans Meyer-Hörstgen,,1,,0.0,0
208,Birgit Kempker,Birgit Kempker,,9,,4.63,8
209,Margrit Irgang,Margrit Irgang,,9,1,4.2,15
210,Gert Heidenreich,Gert Heidenreich,Contemporary|Historical Fiction,68,1,4.11,377
211,Elfi Hartenstein,Elfi Hartenstein,Fiction|Nonfiction|Translation,11,,3.18,57
212,Peter Grosz,Stephen Colbert,Humor|Politics|Literature & Fiction,21,1211,3.94,185558
213,Günther Freitag,Günther Freitag,,1,,4.0,3
214,Dante Andrea Franzetti,Dante Andrea Franzetti,,6,,4.0,1
215,Lilian Faschinger,Lilian Faschinger,Fiction|Historical Fiction|Poetry,12,2,3.5,218
216,Josef Einwanger,Josef Einwanger,,1,,2.0,1
217,Fritz H. Dinkelmann,Fritz H. Dinkelmann,,2,,2.0,2
218,Assen Asenov,Assen Assenov,,2,1,4.0,1
219,Nora Schmitt,Schmitt Nora,,1,,0.0,0
220,Andreas Reiter,A'ndrea Reiter,,3,'9,2.6,5
222,Anita Pichler,Anita Pichler,Short Story,5,,4.0,3
223,Jost Nickel,Jost Nickel,,6,,3.0,3
224,Henrike Leonhardt,Henrike Leonhardt,,2,,0.0,0
225,Katja Lange-Müller,Katja Lange-Müller,,13,7,3.4,295
226,Friederike Kretzen,Friederike Kretzen,,4,,0.0,0
227,Bettina Klix,Bettina Klix,,2,,0.0,0
228,Wolfgang Hermann,Jack D. Zipes,Folklore|Fairy Tales|Anthropology,122,168,4.09,28265
229,Lukas Hammerstein,Lukas Hammerstein,,5,,1.6,5
230,Daniel Grolle,Daniel Grolle-Moscovici,,6,,0.0,0
231,Evelyn Grill,Evelyn Grill,Fiction,13,1,3.71,38
233,Gerhard Falkner,Gerhard Falkner,,26,,3.21,124
