,year,name,living_place,is_chairman,got_sick
0,1977,Rolf Becker,Hamburg,,
1,1977,Humbert Fink,Klagenfurt,,
2,1977,Gertrud Fussenegger,Leonding b.Linz,,
3,1977,Peter Härtling,Walldorf,,
4,1977,Alfred Kolleritsch,Graz,,
5,1977,Rudolf Walter Leonhardt,Hamburg,,
6,1977,Kuno Raeber,München,,
7,1977,Marcel Reich-Ranicki,Frankfurt/Main,,
8,1977,Manès Sperber,Paris,,
9,1977,Friedrich Torberg,Breitenfurt b.Wien,,
10,1977,Heinrich Vormweg,Köln-Longerich,,
11,1977,Hans Weigel,Maria Enzersdorf b.Wien,,
12,1977,Ernst Willner,Klagenfurt,,
13,1978,Rolf Becker,Hamburg,,
14,1978,Humbert Fink,Klagenfurt,,
15,1978,Gertrud Fussenegger,Leonding,,
16,1978,Peter Härtling,Frankfurt/Main,,
17,1978,Kurt Kahl,Wien,,
18,1978,Rudolf Walter Leonhardt,Hamburg,,
19,1978,Adolf Muschg,Zürich,,
20,1978,Marcel Reich-Ranicki,Frankfurt/Main,,
21,1978,Hilde Spiel,Wien,,
22,1978,Heinrich Vormweg,Köln,,
23,1978,Hans Weigel,Maria Enzersdorf,,
24,1978,Wolfgang Werth,München,,
25,1978,Ernst Willer,Klagenfurt,,
26,1979,Rolf Becker,Hamburg,,
27,1979,Alois Brandstetter,Klagenfurt,,
28,1979,Humbert Fink,Klagenfurt,,
29,1979,Gertrud Fussenegger,,,
30,1979,Walter Jens,Tübingen,,
31,1979,Kurt Kahl,Wien,,
32,1979,Joachim Kaiser,München,,
33,1979,Gertrud Fussenegger,Leonding,,
34,1979,Rudolf Walter Leonhardt,Hamburg,,
35,1979,Marcel Reich-Ranicki,Frankfurt/Main,,
36,1979,Hilde Spiel,Wien,,
37,1979,Heinrich Vormweg,Köln,,
38,1979,Otto F. Walter,Oberbipp,,
39,1979,Ernst Willner,Klagenfurt,,
40,1980,Humbert Fink,Maria Saal,,
41,1980,Ulrich Greiner,Hamburg,,
42,1980,Peter Härtling,Frankfurt/Main,,
43,1980,Walter Jens,Tübingen,,
44,1980,Joachim Kaiser,München,,
45,1980,Günter Kunert,Itzehoe-Edendorf,,
46,1980,Adolf Muschg,Kilchberg,,
47,1980,Klara Obermüller,Zürich,,
48,1980,Marcel Reich-Ranicki,Frankfurt/Main,,
49,1980,Hilde Spiel,Wien,,
50,1980,Ernst Willner,Maria Saal,,
51,1981,Humbert Fink,Klagenfurt,,
52,1981,Hans J. Fröhlich,München,,
53,1981,Peter Härtling,Frankfurt/Main,,
54,1981,Walter Jens,Tübingen,,
55,1981,Adolf Muschg,Zürich,,
56,1981,Klara Obermüller,Zürich,,
57,1981,Marcel Reich-Ranicki,Frankfurt/Main,,
58,1981,Gerd Ueding,Ildenburg,,
59,1981,Heinrich Vormweg,Köln,,
60,1981,Ulrich Weinzierl,Wien,,
61,1981,Ernst Willner,Klagenfurt,,
62,1982,Rolf Becker,Hamburg,,
63,1982,Humbert Fink,Maria Saal,,
64,1982,Martin Gregor-Dellin,Gröbenzell,,
65,1982,Walter Hinck,Hoffnungsthal,,
66,1982,Barbara Mantler-Bondy,München,,
67,1982,Sylvia Patsch,Innsbruck,,
68,1982,Marcel Reich-Ranicki,Frankfurt/Main,,
69,1982,Gert Ueding,Oldenburg,,
70,1982,Heinrich Vormweg,Köln,,
71,1982,Ernst Willner,Maria Saal,,
72,1983,Rolf Becker,Hamburg,,
73,1983,Humbert Fink,Klagenfurt,,
74,1983,Martin Gregor-Dellin,Gröbenzell,,
75,1983,Walter Hinck,Rösrath,,
76,1983,Walter Jens,Tübingen,,
77,1983,Klara Obermüller,Zollikon,,
78,1983,Marcel Reich-Ranicki,Frankfurt/Main,,
79,1983,Gert Ueding,Oldenburg,,
80,1983,Heinrich Vormweg,Köln,,
81,1983,Ulrich Weinzierl,Wien,,
82,1984,Humbert Fink,Maria Saal,,
83,1984,Gertrud Fussenegger,Leonding,,
84,1984,Martin Gregor-Dellin,Gröbenzell,,
85,1984,Peter Härtling,Mörfelden-Walldorf,,
86,1984,Walter Hinck,Rösrath,,
87,1984,Walter Jens,Tübingen,,
88,1984,Wolfgang Kraus,Wien,,
89,1984,Manfred Mixner,Graz,,
90,1984,Klara Obermüller,Zollikon,,
91,1984,Marcel Reich-Ranicki,Frankfurt/Main,,
92,1984,Friederike Roth,Stuttgart,,
93,1985,Ingeborg Drewitz,Berlin,,
94,1985,Humbert Fink,Maria Saal,,
95,1985,Gertrud Fussenegger,Leonding/Linz,,
96,1985,Martin Gregor-Dellin,Gröbenzell,,
97,1985,Peter Härtling,Mörfelden/Walldorf,,
98,1985,Joachim Kaiser,München,,
99,1985,Manfred Mixner,Wien,,
100,1985,Klara Obermüller,Zollikon,,
101,1985,Marcel Reich-Ranicki,Frankfurt/Main,,
102,1985,Gert Ueding,Tübingen,,
103,1985,Heinrich Vormweg,Köln,,
104,1986,Peter Demetz,New Haven (USA),,
105,1986,Humbert Fink,Maria Saal,,
106,1986,Peter Härtling,Mörfelden-Walldorf,,
107,1986,Walter Hinck,Roesrath/Hoffnungsthal,,
108,1986,Walter Jens,Tübingen,,True
