"Hier wird die Automatische Literaturkritik erklärt: goo.gl/HhmFlJ

Bitte jede Punktvergabe mit Kommentar begründen (außer ganz Offensichtliches wie ""Eltern-Kind-Thematik"")","Roman
Marchel","Kerstin
Preiwuß","Tobias
Sommer","Gertraud
Klemm","Olga
Flor","Karen
Köhler (außer Konkurrenz wegen Windpocken)","Anne-
Kathrin
Heier","Birgit
Pölzl","Senthuran
Varatharajah","Michael
Fehr","Romana
Ganzoni","Katharina
Gericke","Tex
Rubinowitz
(außer
Konkurrenz)","Georg
Petz"
Pluspunkte Autorenporträt und Textform:,,,,,,,,,,,,,,
1. Lastenausgleich: Autor hat nicht in der NVA gedient,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2. Lastenausgleich: Autor ist kein junges Mädchen,1,,1,1,1,1,,1,1,1,1,1,1,1
3. Lastenausgleich: Autor hat an einem Literaturinstitut studiert,,1,,,,,1,,,1,,,,
"4. schnörkelloser Lebenslauf ohne Preise, ohne Aufenthalte, ohne Hobbys (""Schreiben"", ""Breakdance"", ""Leichenwaschen"")",,,,,,,1,,,,1,,,
5. Gute Typo,,,,,,,,,,,,,,
"6. Autor ist Träger interessanter Preise (Stipendium der Raketenstation Hombroich, Walter-Fick-Preis) ",,,,,,,,,,,,,,
"7. Keine ""open mike""-Teilnahme / Teilnahme wird im Lebenslauf verschwiegen",1,,,,1,1,1,1,1,,1,,,1
8. Autor ist größenwahnsinnig / erklärt sich im Interview vorab zum Sieger etc.,,,,,,,,,,,,,,
"9. Autos nehmen eine wichtige, positive Rolle im Autorenporträt ein.",,,,,,,,,,,,,,
"10. Autor hat einen Beruf außer Autor erlernt (1 Punkt) oder übt einen solchen Beruf aus (1 Punkt) oder beides (2 Punkte). Autorennahe Berufe wie Lektor, Übersetzer etc. zählen nicht.",,,2,1,1,1,,,2,,1,,1,2
"11. Porträt: Karl-Gustav-Ruch-Punkt für uncoole Einrichtungsgegenstände (Hometrainer, Brotbackautomat)",,,,,,,,,,,,,,
12. Porträt: Autor hat sich offenbar tatsächlich zu Hause filmen lassen.,1,,,1,,,,,,,,,,
,,,,,,,,,,,,,,
Pluspunkte Inhalt:,,,,,,,,,,,,,,
13. Fahrräder sind Fahrräder und keine Metaphern,,,,,,,,,1,,,,,
"14. Es wurde schlampig recherchiert in unwichtigen Dingen (1 Pluspunkt für jeden Fehler, den die Jury findet)",,,,,,,,,,,,,,
"15. Protagonisten sehen fern. (Nicht als Kritik am Medium, sonst minus eins)",,,,,,,,,1,,,,1,
"16. Hildegunst von Mythenmetzsche Ereignisandrohung, Spannungselemente (Punktvergabe nur, wenn kein Romanauszug)",,,,,,,,,,,,,,1
"17. Handlungsfäden bleiben offen, Angedeutetes wird nicht wieder aufgegriffen, Vorlagen werden nicht verwandelt – (Punktvergabe nur, wenn kein Romanauszug) ",1,,,,,,,,,,,,,
18. Handlung spielt in einem Radius > 1 km,,,,,,,1,1,,,,,,
19. Unzuverlässiger Erzähler,,,,,,,,,,,,,,
20. Auktorialer Erzähler,,,,,,,,,,,,,,
21. Science Fiction,,,,,,,,,,,,,,
22. wohlwollende Besprechung von Nahrungsmitteln (2 Punkte bei Fleisch) oder Essvorgang,,,,,,,,,,,,1,,
23. Mord und Totschlag,1,,,,,,,,,,,,,
24. Alles mit Krieg (Ausnahme: WK II) oder Leistungssport,,,,,,,,,,,,,,
"25. Alison-Bechdel-Regel: 1. Zwei oder mehr Frauen, die 2. miteinander reden und zwar 3. nicht über einen Mann.",,,,,,1,,1,,,,,,
26. Vorkommen von feuchten Frotteetüchern und/oder miefigen Sporttaschen,,,,,,,,,,,,,,
"27. unaufdringliche sachdienliche Hinweise betreffend Gärtnerei, Autoreparatur etc. (nicht als Metapher, sonst minus eins)",,,,,,,,,,,,,,
"28. mindestens einseitig, besser beidseitig unhöfliche Dialoge",,,,,,,,,,1,,,,
