Name,Land,Wohnort,Geburtsort,F/M,Jahr,Leseplatz,Lesetag,Lesezeitpunkt,eingeladen von,Shortlist?,Preise,"Geburts-
jahrgang","Alter zum Zeitpunkt
der Teilnahme
(±1, Geburtsmonat
nicht berücksichtigt)","statuten-
konform",Kommentar,Lesetage im Jahr der Teilnahme,Teilnahme YYYY,Geburt YYYY,ID
Jasmin Ramadan,D,Hamburg,Hamburg,F,2020,1,1,ET,Philipp Tingler,,,1974,46,1,,3,2020,1974,JasminRamadan2020
Lisa Krusche,D,Braunschweig,Hildesheim,F,2020,2,1,,Klaus Kastberger,Shortlist,Deutschlandfunk,1990,30,1,,3,2020,1990,LisaKrusche2020
Leonhard Hieronymi,D,Hamburg,Bad Homburg,M,2020,3,1,VP,Michael Wiederstein,,,1987,33,1,,3,2020,1987,LeonhardHieronymi2020
Carolina Schutti,A,Innsbruck,Innsbruck,F,2020,4,1,NP,Brigitte Schwens-Harrant,,,1976,44,1,,3,2020,1976,CarolinaSchutti2020
Jörg Piringer,A,Wien,Wien,M,2020,5,1,LT,Nora Gomringer,,,1974,46,1,,3,2020,1974,JörgPiringer2020
Helga Schubert,D,Neu Meteln,Berlin,F,2020,6,2,ET,Insa Wilke,Shortlist,Bachmann,1940,80,1,,3,2020,1940,HelgaSchubert2020
Hanna Herbst,D/A,Köln,Mainz,F,2020,7,2,,Insa Wilke,Shortlist,,1990,30,1,,3,2020,1990,HannaHerbst2020
Egon Christian Leitner,A,Graz,Graz,M,2020,8,2,VP,Klaus Kastberger,Shortlist,kelag,1961,59,1,,3,2020,1961,EgonChristianLeitner2020
Matthias Senkel,D,Leipzig,Greiz,M,2020,9,2,NP,Hubert Winkels,Shortlist,,1977,43,1,,3,2020,1977,MatthiasSenkel2020
Levin Westermann,D/CH,Biel/Bienne,Meerbusch,M,2020,10,2,LT,Hubert Winkels,Shortlist,,1980,40,1,,3,2020,1980,LevinWestermann2020
Lydia Haider,A,Wien,Steyr,F,2020,11,3,ET,Nora Gomringer,,Publikum,1985,35,1,,3,2020,1985,LydiaHaider2020
Laura Freudenthaler,A,Wien,Salzburg,F,2020,12,3,VP,Brigitte Schwens-Harrant,Shortlist,3sat,1984,36,1,,3,2020,1984,LauraFreudenthaler2020
Katja Schönherr,D,bei Zürich,Marienberg (Sachsen),F,2020,13,3,NP,Philipp Tingler,,,1982,38,1,,3,2020,1982,KatjaSchönherr2020
Meral Kureyshi,CH,Bern,Prizren,F,2020,14,3,LT,Michael Wiederstein,,,1983,37,1,,3,2020,1983,MeralKureyshi2020
Katharina Schultens,D,Berlin,Kirchen (Rheinland-Pfalz),F,2019,1,1,ET,Insa Wilke,,,1980,39,1,,3,2019,1980,KatharinaSchultens2019
Sarah Wipauer,A,Wien,Wien,F,2019,2,1,,Klaus Kastberger,Shortlist,,1986,33,1,,3,2019,1986,SarahWipauer2019
Silvia Tschui,CH,Zürich,Zürich,F,2019,3,1,VP,Nora Gomringer,,,1974,45,1,,3,2019,1974,SilviaTschui2019
Julia Jost,A,Hamburg,St. Veit an der Glan,F,2019,4,1,NP,Klaus Kastberger,Shortlist,kelag,1982,37,1,,3,2019,1982,JuliaJost2019
Andrea Gerster,CH,Freidorf TG,Schaffhausen,F,2019,5,1,LT,Hildegard Keller,,,1959,60,1,,3,2019,1959,AndreaGerster2019
Yannic Han Biao Federer,D,Köln,Breisach am Rhein,M,2019,6,2,,Hildegard Keller,Shortlist,3sat,1986,33,1,,3,2019,1986,YannicHanBiaoFederer2019
Ronya Othmann,D,Leipzig,München,F,2019,7,2,ET,Insa Wilke,Shortlist,Publikum,1993,26,1,,3,2019,1993,RonyaOthmann2019
Birgit Birnbacher,A,Salzburg,Schwarzach,F,2019,8,2,,Stefan Gmünder,Shortlist,Bachmann,1985,34,1,,3,2019,1985,BirgitBirnbacher2019
Daniel Heitzler,D,Berlin,Germersheim,M,2019,9,2,VP,Hubert Winkels,Shortlist,,1996,23,1,,3,2019,1996,DanielHeitzler2019
Tom Kummer,CH,Bern,Bern,M,2019,10,2,NP,Michael Wiederstein,,,1961,58,1,,3,2019,1961,TomKummer2019
Ines Birkhan,A,Wien,Wien,F,2019,11,3,LT,Nora Gomringer,,,1974,45,1,,3,2019,1974,InesBirkhan2019
Leander Fischer,A,Hannover,Vöcklabruck,M,2019,12,3,ET,Hubert Winkels,Shortlist,Deutschlandfunk,1992,27,1,,3,2019,1992,LeanderFischer2019
Lukas Meschik,A,Wien,Wien,M,2019,13,3,,Stefan Gmünder,,,1988,31,1,,3,2019,1988,LukasMeschik2019
Martin Beyer,D,Bamberg,Frankfurt am Main,M,2019,14,3,LT,Michael Wiederstein,,,1976,43,1,,3,2019,1976,MartinBeyer2019
Raphaela Edelbauer,A,Wien,Wien,F,2018,1,1,ET,Klaus Kastberger,Shortlist,Publikum,1990,28,1,,3,2018,1990,RaphaelaEdelbauer2018
Martina Clavadetscher,CH,Brunnen / Luzern,Zug,F,2018,2,1,,Hildegard Keller,,,1979,39,1,,3,2018,1979,MartinaClavadetscher2018
Stephan Lohse,D,Berlin,Hamburg,M,2018,3,1,VP,Hubert Winkels,,,1964,54,1,,3,2018,1964,StephanLohse2018
Anna Stern,CH,Zürich,Rorschach,F,2018,4,1,NP,Hildegard Keller,Shortlist,3sat,1990,28,1,,3,2018,1990,AnnaStern2018
Joshua Groß,D,Nürnberg,Grünsberg (Bayern),M,2018,5,1,LT,Insa Wilke,Shortlist,,1989,29,1,,3,2018,1989,JoshuaGroß2018
Corinna T. Sievers,CH,Herrliberg,Fehmarn,F,2018,6,2,ET,Nora Gomringer,,,1965,53,1,,3,2018,1965,CorinnaTSievers2018
Ally Klein,D,Berlin,Berlin,F,2018,7,2,,Michael Wiederstein,Shortlist,,1984,34,1,,3,2018,1984,AllyKlein2018
Tanja Maljartschuk,UA,Wien,Iwano-Frankiwsk,F,2018,8,2,VP,Stefan Gmünder,Shortlist,Bachmann,1983,35,1,,3,2018,1983,TanjaMaljartschuk2018
Bov Bjerg,D,Berlin,Heiningen,M,2018,9,2,NP,Klaus Kastberger,Shortlist,Deutschlandfunk,1965,53,1,,3,2018,1965,BovBjerg2018
Anselm Neft,D,Hamburg,Bonn,M,2018,10,2,LT,Nora Gomringer,,,1973,45,1,,3,2018,1973,AnselmNeft2018
