Stadt,Einwohner (2016),Jahre (Achtung Fenceposting),seit,bis,"(Alle Zahlen Wikipedia Mitte 2016. Hier nur die Städte, aus denen mindestens 3 Autoren kamen.)"
Basel,175131,44,1977,2020,
Berlin,3512429,30,1991,2020,
Berlin-Ost,1297212,14,1977,1990,
Berlin-West,2012709,14,1977,1990,
Bern,141098,44,1977,2020,
Biel,53667,44,1977,2020,
Bregenz,29139,44,1977,2020,
Frankfurt,717624,44,1977,2020,
Freiburg,222203,44,1977,2020,
Graz,280200,44,1977,2020,
Hamburg,1778171,44,1977,2020,
Heidelberg,154715,44,1977,2020,
Innsbruck,130894,44,1977,2020,
Karlsruhe,300051,44,1977,2020,
Klagenfurt,99110,44,1977,2020,
Köln,1046680,44,1977,2020,
Konstanz,81692,44,1977,2020,
Leipzig,544479,44,1977,2020,
Linz,200841,44,1977,2020,
Luzern,81284,44,1977,2020,
München,1429584,44,1977,2020,
Münster,302178,44,1977,2020,
Nürnberg,501072,44,1977,2020,
Paris,2229621,44,1977,2020,
Salzburg,150887,44,1977,2020,
Stuttgart,612441,44,1977,2020,
Tübingen,85871,44,1977,2020,
Wien,1840573,44,1977,2020,
Wiesbaden,275116,44,1977,2020,
Zürich,396027,44,1977,2020,
