GewinnerID,Kategorie,YYYY,Jahr,Titel,Stifter,Preisträger,Betrag,Währung,Nominal in EUR,"Inflationsbereinigt
in Mai 2016 EUR","verify
name",kommentar
HelgaSchubert2020,Bachmann,2020,2020,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Helga Schubert,25000,EUR,"25.000,00 €",,,
LisaKrusche2020,Sonderpreis,2020,2020,Deutschlandfunk-Preis,Deutschlandradio,Lisa Krusche,12500,EUR,"12.500,00 €",,,
EgonChristianLeitner2020,Sonderpreis,2020,2020,Kelag-Preis,Kelag,Egon Christian Leitner,10000,EUR,"10.000,00 €",,,
LauraFreudenthaler2020,Sonderpreis,2020,2020,3sat-Preis,3sat,Laura Freudenthaler,7500,EUR,"7.500,00 €",,,
,Publikumspreis,2020,2020,BKS Bank Publikumspreis,BKS Bank,,,EUR,,,,
BirgitBirnbacher2019,Bachmann,2019,2019,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Birgit Birnbacher,25000,EUR,"25.000,00 €",,,
LeanderFischer2019,Sonderpreis,2019,2019,Deutschlandfunk-Preis,Deutschlandradio,Leander Fischer,12500,EUR,"12.500,00 €",,,
JuliaJost2019,Sonderpreis,2019,2019,Kelag-Preis,Kelag,Julia Jost,10000,EUR,"10.000,00 €",,,
YannicHanBiaoFederer2019,Sonderpreis,2019,2019,3sat-Preis,3sat,Yannic Han Biao Federer,7500,EUR,"7.500,00 €",,,
RonyaOthmann2019,Publikumspreis,2019,2019,BKS Bank Publikumspreis,BKS Bank,Ronya Othmann,,EUR,,,,
TanjaMaljartschuk2018,Bachmann,2018,2018,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Tanja Maljartschuk,25000,EUR,"25.000,00 €",#N/A,TRUE,
BovBjerg2018,Sonderpreis,2018,2018,Deutschlandfunk-Preis,Deutschlandradio,Bov Bjerg,12500,EUR,"12.500,00 €",#N/A,TRUE,
ÖzlemÖzgülDündar2018,Sonderpreis,2018,2018,Kelag-Preis,Kelag,Özlem Özgül Dündar,10000,EUR,"10.000,00 €",#N/A,TRUE,
AnnaStern2018,Sonderpreis,2018,2018,3sat-Preis,3sat,Anna Stern,7500,EUR,"7.500,00 €",#N/A,TRUE,
RaphaelaEdelbauer2018,Publikumspreis,2018,2018,BKS Bank Publikumspreis,BKS Bank,Raphaela Edelbauer,7000,EUR,"7.000,00 €",#N/A,TRUE,
FerdinandSchmalz2017,Bachmann,2017,2017,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Ferdinand Schmalz,25000,EUR,"25.000,00 €",#N/A,TRUE,
JohnWray2017,Sonderpreis,2017,2017,Deutschlandfunk-Preis,Deutschlandradio,John Wray,12500,EUR,"12.500,00 €",#N/A,TRUE,
EckhartNickel2017,Sonderpreis,2017,2017,Kelag-Preis,Kelag,Eckhart Nickel,10000,EUR,"10.000,00 €",#N/A,TRUE,
GiannaMolinari2017,Sonderpreis,2017,2017,3sat-Preis,3sat,Gianna Molinari,7500,EUR,"7.500,00 €",#N/A,TRUE,
KarinPeschka2017,Publikumspreis,2017,2017,BKS-Bank-Publikumspreis,BKS Bank,Karin Peschka,7000,EUR,"7.000,00 €",#N/A,TRUE,
SharonDoduaOtoo2016,Bachmann,2016,2016,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Sharon Dodua Otoo,25000,EUR,"25.000,00 €","25.000,00 €",TRUE,
DieterZwicky2016,Sonderpreis,2016,2016,Kelag-Preis,Kelag,Dieter Zwicky,10000,EUR,"10.000,00 €","10.000,00 €",TRUE,
JuliaWolf2016,Sonderpreis,2016,2016,3sat-Preis,3sat,Julia Wolf,7500,EUR,"7.500,00 €","7.500,00 €",TRUE,
StefanieSargnagel2016,Publikumspreis,2016,2016,BKS-Bank-Publikumspreis,BKS Bank,Stefanie Sargnagel,7000,EUR,"7.000,00 €","7.000,00 €",TRUE,
StefanieSargnagel2016,Stipendium,2016,2016,Stadtschreiber-Stipendium,Stadt Klagenfurt,Stefanie Sargnagel,5000,EUR,"5.000,00 €","5.000,00 €",TRUE,
NoraGomringer2015,Bachmann,2015,2015,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Nora Gomringer,25000,EUR,"25.000,00 €","25.156,41 €",TRUE,
ValerieFritsch2015,Sonderpreis,2015,2015,Kelag-Preis,Kelag,Valerie Fritsch,10000,EUR,"10.000,00 €","10.062,57 €",TRUE,
DanaGrigorcea2015,Sonderpreis,2015,2015,3sat-Preis,3sat,Dana Grigorcea,7500,EUR,"7.500,00 €","7.546,92 €",TRUE,
ValerieFritsch2015,Publikumspreis,2015,2015,BKS-Bank-Publikumspreis,BKS Bank,Valerie Fritsch,7000,EUR,"7.000,00 €","7.043,80 €",TRUE,
ValerieFritsch2015,Stipendium,2015,2015,Stadtschreiber-Stipendium,Stadt Klagenfurt,Valerie Fritsch,5000,EUR,"5.000,00 €","5.031,28 €",TRUE,
TexRubinowitz2014,Bachmann,2014,2014,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Tex Rubinowitz,25000,EUR,"25.000,00 €","25.403,65 €",TRUE,
MichaelFehr2014,Sonderpreis,2014,2014,Kelag-Preis,Kelag,Michael Fehr,10000,EUR,"10.000,00 €","10.161,46 €",TRUE,
KatharinaGericke2014,Stipendium,2014,2014,Ernst-Willner-Preis,Mr. Heyn’s,Katharina Gericke,5000,EUR,"5.000,00 €","5.080,73 €",TRUE,
SenthuranVaratharajah2014,Sonderpreis,2014,2014,3sat-Preis,3sat,Senthuran Varatharajah,7500,EUR,"7.500,00 €","7.621,10 €",TRUE,
GertraudKlemm2014,Publikumspreis,2014,2014,BKS-Bank-Publikumspreis,BKS Bank,Gertraud Klemm,7000,EUR,"7.000,00 €","7.113,02 €",TRUE,
KatjaPetrowskaja2013,Bachmann,2013,2013,Ingeborg-Bachmann-Preis,Stadt Klagenfurt,Katja Petrowskaja,25000,EUR,"25.000,00 €","25.848,21 €",TRUE,
VerenaGüntner2013,Sonderpreis,2013,2013,Kelag-Preis,Kelag,Verena Güntner,10000,EUR,"10.000,00 €","10.339,29 €",TRUE,
HeinzHelle2013,Stipendium,2013,2013,Ernst-Willner-Preis,,Heinz Helle,5000,EUR,"5.000,00 €","5.169,64 €",TRUE,
BenjaminMaack2013,Sonderpreis,2013,2013,3sat-Preis,3sat,Benjamin Maack,7500,EUR,"7.500,00 €","7.754,46 €",TRUE,
NadineKegele2013,Publikumspreis,2013,2013,BKS-Bank-Publikumspreis,BKS Bank,Nadine Kegele,7000,EUR,"7.000,00 €","7.237,50 €",TRUE,
NadineKegele2013,Stipendium,2013,2013,Stadtschreiber-Stipendium,Stadt Klagenfurt,Nadine Kegele,5000,EUR,"5.000,00 €","5.169,64 €",TRUE,
