ID,Preise,Shortlist?,Schriftart
JasminRamadan2020,,,Cambria
LisaKrusche2020,Deutschlandfunk,Shortlist,Garamond
LeonhardHieronymi2020,,,Book Antiqua
CarolinaSchutti2020,,,Times New Roman
JörgPiringer2020,,,Cambria
HelgaSchubert2020,Bachmann,Shortlist,Arial
HannaHerbst2020,,Shortlist,Times New Roman
EgonChristianLeitner2020,kelag,Shortlist,Times New Roman
MatthiasSenkel2020,,Shortlist,Calibri
LevinWestermann2020,,Shortlist,Courier New
LydiaHaider2020,Publikum,,Calibri
LauraFreudenthaler2020,3sat,Shortlist,Times New Roman
KatjaSchönherr2020,,,Garamond
MeralKureyshi2020,,,Garamond
KatharinaSchultens2019,,,Times New Roman
SarahWipauer2019,,Shortlist,Times New Roman
SilviaTschui2019,,,Century Schoolbook
JuliaJost2019,kelag,Shortlist,Times New Roman
AndreaGerster2019,,,Courier
YannicHanBiaoFederer2019,3sat,Shortlist,Calibri
RonyaOthmann2019,Publikum,Shortlist,Times New Roman
BirgitBirnbacher2019,Bachmann,Shortlist,Georgia
DanielHeitzler2019,,Shortlist,Times New Roman
TomKummer2019,,,Calibri
InesBirkhan2019,,,Helvetica
LeanderFischer2019,Deutschlandfunk,Shortlist,Garamond
LukasMeschik2019,,,Georgia
MartinBeyer2019,,,Georgia
RaphaelaEdelbauer2018,Publikum,Shortlist,Charter
MartinaClavadetscher2018,,,Cambria
StephanLohse2018,,,Cambria
AnnaStern2018,3sat,Shortlist,Times New Roman
JoshuaGroß2018,,Shortlist,Times New Roman
CorinnaTSievers2018,,,Arial
AllyKlein2018,,Shortlist,Liberation Serif
TanjaMaljartschuk2018,Bachmann,Shortlist,Times New Roman
BovBjerg2018,Deutschlandfunk,Shortlist,Cambria
AnselmNeft2018,,,Times New Roman
JakobNolte2018,,,Times New Roman
StephanGroetzner2018,,,Courier
ÖzlemÖzgülDündar2018,kelag,Shortlist,Cambria
LennardtLoß2018,,,Georgia
KarinPeschka2017,Publikum,,Times New Roman
BjörnTreber2017,,,Book Antiqua
JohnWray2017,Deutschlandfunk,Shortlist,Times New Roman
NoemiSchneider2017,,,Garamond
DanielGoetsch2017,,,Times New Roman
FerdinandSchmalz2017,Bachmann,Shortlist,Helvetica
BarbiMarkovic2017,,Shortlist,Cambria
VerenaDürr2017,,,Helvetica
JackieThomae2017,,Shortlist,Garamond
JörgUweAlbig2017,,,Arial
EckhartNickel2017,kelag,Shortlist,Times New Roman
GiannaMolinari2017,3sat,Shortlist,Arnhem
MaxiObexer2017,,,Arial
UrsMannhart2017,,Shortlist,Georgia
StefanieSargnagel2016,Publikum,,Arial
SaschaMacht2016,,,Courier
MarkoDinić2016,,Shortlist,Calibri
BastianSchneider2016,,,Garamond
SelimÖzdogan2016,,Shortlist,Cambria
JuliaWolf2016,3sat,Shortlist,Courier
JanSnela2016,,Shortlist,Cambria
IsabelleLehn2016,,Shortlist,Times New Roman
TomerGardi2016,,,Times New Roman
SylvieSchenk2016,,,Times New Roman
AdaDorian2016,,,Times New Roman
SharonDoduaOtoo2016,Bachmann,Shortlist,Arial
AstridSozio2016,,,Courier
DieterZwicky2016,kelag,Shortlist,Times New Roman
KaterinaPoladjan2015,,,Computer Modern Typewriter
NoraGomringer2015,Bachmann,Shortlist,Cambria
SaskiaHennigvonLange2015,,,Times New Roman
SvenRecker2015,,,Times New Roman
ValerieFritsch2015,"kelag, Publikum ",Shortlist ,Times New Roman
PeterTruschner2015,,,Calibri
FALKNER2015,,,Calibri
TimKrohn2015,,,Cambria
MoniqueSchwitter2015,,Shortlist ,Calibri
RonjavonRönne2015,,,Times New Roman
JürgHalter2015,,Shortlist ,Arial
AnnaBaar2015,,Shortlist ,Calibri
TeresaPräauer2015,,Shortlist ,Georgia
DanaGrigorcea2015,3sat,Shortlist ,Cambria
RomanMarchel2014,,Shortlist,Times New Roman
KerstinPreiwuß2014,,,Calibri
TobiasSommer2014,,,Times New Roman
GertraudKlemm2014,Publikum,Shortlist,Arial
OlgaFlor2014,,,Cambria
AnneKathrinHeier2014,,Shortlist,Garamond
BirgitPölzl2014,,,Calibri
SenthuranVaratharajah2014,3sat,Shortlist,Times New Roman
MichaelFehr2014,"kelag, ALK",Shortlist,Helvetica
RomanaGanzoni2014,,,Calibri
KatharinaGericke2014,Ernst Willner,Shortlist,Times New Roman
TexRubinowitz2014,Bachmann,Shortlist,Arial
GeorgPetz2014,,,Times New Roman
KarenKöhler2014,,,
LarissaBoehning2013,,Shortlist,Times New Roman
JoachimMeyerhoff2013,,Shortlist,Cambria
NadineKegele2013,Publikum,,Liberation Sans
VerenaGüntner2013,kelag,Shortlist,Courier
AnouschMueller2013,,,Goudy
ZédoRock2013,,,Cambria
CordulaSimon2013,,,Times New Roman
HeinzHelle2013,Ernst Willner,Shortlist,Helvetica
PhilippSchönthaler2013,,,Garamond
KatjaPetrowskaja2013,Bachmann,Shortlist,Times New Roman
HannahDübgen2013,,,Minion
RomanEhrlich2013,ALK,Shortlist,Times New Roman
BenjaminMaack2013,3sat,Shortlist,Arial
NikolaAnneMehlhorn2013,,,Times New Roman
StefanMoster2012,,Shortlist,Times New Roman
HugoRamnek2012,,,Palatino
MirjamRichner2012,,,Times New Roman
AndreasStichmann2012,,Shortlist,Times New Roman
SabineHassinger2012,,,Times New Roman
IngerMariaMahlke2012,Ernst Willner,Shortlist,Times New Roman
CorneliaTravnicek2012,Publikum,,Calibri
OlgaMartynova2012,Bachmann,Shortlist,Arial
LisaKränzler2012,3sat,Shortlist,Garamond
SimonFroehling2012,,,Courier
MatthiasNawrat2012,"kelag, ALK",Shortlist,Georgia
MatthiasSenkel2012,,Shortlist,Arial
LeopoldFedermair2012,,Shortlist,Verdana
IsabellaFeimer2012,,,Times New Roman
GuntherGeltinger2011,,Shortlist,Arial
MaximilianSteinbeis2011,,,Cambria
DanielWisser2011,,,Nimbus
AnnaMariaPraßler2011,,,Times New Roman
AntoniaBaum2011,,,Arial
LinusReichlin2011,ALK,,Times New Roman
MajaHaderlap2011,Bachmann,Shortlist,Times New Roman
JulyaRabinowich2011,,Shortlist,Times New Roman
NinaBußmann2011,3sat,Shortlist,Georgia
SteffenPopp2011,kelag,Shortlist,Computer Modern
LeifRandt2011,Ernst Willner,Shortlist,Arial
AnneRichter2011,,,Times New Roman
MichelBožiković2011,,,Times New Roman
ThomasKlupp2011,Publikum,Shortlist,Garamond
SabrinaJanesch2010,,Shortlist,Times New Roman
VolkerHAltwasser2010,,,Times New Roman
ChristopherKloeble2010,,,Book Antiqua
DanielMezger2010,,,Times New Roman
DorotheeElmiger2010,"ALK, kelag",Shortlist,Times New Roman
ThomasBallhausen2010,,,Times New Roman
MaxScharnigg2010,,,Times New Roman
AleksScholz2010,Ernst Willner,Shortlist,Computer Modern
JudithZander2010,3sat,Shortlist,Garamond
JosefKleindienst2010,,,Times New Roman
PeterWawerzinek2010,"Bachmann, Publikum",Shortlist,Times New Roman
IrisSchmidt2010,,,Times New Roman
ChristianFries2010,,Shortlist,Arial
VerenaRossbacher2010,,,Times New Roman
LorenzLangenegger2009,,,Times New Roman
PhilippWeiss2009,,,Times New Roman
KarstenKrampitz2009,Publikum,,Garamond
BrunoPreisendörfer2009,,,Times New Roman
ChristianeNeudecker2009,,Shortlist,Times New Roman
LindaStift2009,,,Times New Roman
RalfBönt2009,kelag,Shortlist,Times New Roman
KarlGustavRuch2009,ALK,,Times New Roman
JensPetersen2009,Bachmann,Shortlist,Times New Roman
AndreasSchäfer2009,,Shortlist,Times New Roman
GregorSander2009,3sat,Shortlist,Times New Roman
AndreaWinkler2009,,,Garamond
KatharinaBorn2009,Ernst Willner,Shortlist,Times New Roman
CaterinaSatanik2009,,Shortlist,Courier
ThorstenPalzhoff2008,,,Times New Roman
AlinaBronsky2008,,Shortlist,Bookman Old Style
ClemensJSetz2008,Ernst Willner,Shortlist,Times New Roman
AngelikaReitzer2008,,,Georgia
MartinvonArndt2008,,,Times New Roman
PatrickFindeis2008,3sat,Shortlist,Courier
MarkusOrths2008,Telekom Austria,Shortlist,Garamond
HeikeGeißler2008,,,Times New Roman
SudabehMohafez2008,,Shortlist,Times New Roman
DagrunHintze2008,,,Arial
PedroLenz2008,,,Courier
UlfErdmannZiegler2008,,Shortlist,Times New Roman
TilmanRammstedt2008,"Bachmann, Publikum, ALK",Shortlist,Garamond
AnetteSelg2008,,,Times New Roman
JagodaMarinič2007,,,Times New Roman
ChristianBernhardt2007,,,Garamond
JochenSchmidt2007,,Shortlist,Garamond
AndreaGrill2007,,,Bell MT
JörgAlbrecht2007,,,Garamond
FridolinSchley2007,,,Times New Roman
LutzSeiler2007,Bachmann,Shortlist,Times New Roman
SilkeScheuermann2007,,Shortlist,Times New Roman
RonaldReng2007,,,Times New Roman
DieterZwicky2007,,,Garamond
MichaelStavarič2007,,Shortlist,Georgia
MilenaOda2007,,,Georgia
KurtOesterle2007,,Shortlist,Verdana
PeterLicht2007,"3sat, Publikum",Shortlist,Times New Roman
JanBöttcher2007,Ernst Willner,Shortlist,Arial
BjörnKern2007,,,Times New Roman
ThomasStangl2007,Telekom Austria,Shortlist,Times New Roman
MartinBecker2007,,,Arial
SigridBehrens2006,,,Arial
BodoHell2006,Telekom Austria,,Times New Roman
SilvioHuonder2006,,,Times New Roman
ClemensMeyer2006,,,Times New Roman
AngelikaOverath2006,Ernst Willner,,Times New Roman
KevinVennemann2006,,,Arial
AndreasMerkel2006,,,Courier
ClaudiaKlischat2006,,,Garamond
ThomasMelle2006,,,Times New Roman
DirkvonPetersdorff2006,,,Times New Roman
PaulBrodowsky2006,,,Courier
AnnetteMingels2006,,,Arial
HannoMillesi2006,,,Book Antiqua
NorbertScheuer2006,3sat,,Arial
KatjaHuber2006,,,Arial
KathrinPassig2006,"Bachmann, Publikum",,Computer Modern
KaiWeyand2006,,,Book Antiqua
InaStrelow2006,,,Arial
NikolaiVogel2005,,Shortlist,Times New Roman
JuliaSchoch2005,Jury,Shortlist,Arial
SusanneHeinrich2005,,Shortlist,Times New Roman
SašaStanišić2005,Publikum,Shortlist,Book Antiqua
