author_id,book_title,publisher,release_year,perlentaucher_url
0,"Sturz. Das dritte Buch vom Flug. Roman",Matthes und Seitz Berlin,2020,"https://www.perlentaucher.de/buch/reto-haenny/sturz.html"
0,"Blooms Schatten",Matthes und Seitz,2014,"https://www.perlentaucher.de/buch/reto-haenny/blooms-schatten.html"
0,"Flug. Neue Fassung",Suhrkamp Verlag,2007,"https://www.perlentaucher.de/buch/reto-haenny/flug.html"
2,"Bauten des Bundes 1949-1989. Zwischen Architekturkritik und zeitgenössischer Wahrnehmung",DOM Publishers,2019,"https://www.perlentaucher.de/buch/elisabeth-plessen/bauten-des-bundes-1949-1989.html"
2,"Die Unerwünschte. Roman",Berlin Verlag,2019,"https://www.perlentaucher.de/buch/elisabeth-plessen/die-unerwuenschte.html"
2,"Ida. Roman",Berlin Verlag,2010,"https://www.perlentaucher.de/buch/elisabeth-plessen/ida.html"
2,"Das Kavalierhaus. Roman",Kiepenheuer und Witsch Verlag,2004,"https://www.perlentaucher.de/buch/elisabeth-plessen/das-kavalierhaus.html"
4,"Workuta",Wallstein Verlag,2013,"https://www.perlentaucher.de/buch/horst-bienek/workuta.html"
4,"Klaus Kinski - Hörspiele. Sechs Gramm Caratillo und Die Nacht allein",Random House Audio,2002,"https://www.perlentaucher.de/buch/horst-bienek-wolfgang-graetz-klaus-kinski/klaus-kinski-hoerspiele.html"
5,"Fräulein Ava Laurin. Roman",J.S. Klotz Verlagshaus,2019,"https://www.perlentaucher.de/buch/renate-schostack/fraeulein-ava-laurin.html"
5,"Wintertage in Sankt Petersburg. Erzählung",Windrose Verlag,2003,"https://www.perlentaucher.de/buch/renate-schostack/wintertage-in-sankt-petersburg.html"
7,"Das Geschenk. Roman",Diogenes Verlag,2006,"https://www.perlentaucher.de/buch/maria-elisabeth-straub/das-geschenk.html"
7,"Katzenzungen. Roman",Diogenes Verlag,2001,"https://www.perlentaucher.de/buch/martina-borger-maria-elisabeth-straub/katzenzungen.html"
10,"Wasser und Wind. Gedichte 1988-2005",Wieser Verlag,2006,"https://www.perlentaucher.de/buch/marie-therese-kerschbaumer/wasser-und-wind.html"
10,"Neun Elegien / Nueve elegias. Deutsch / Spanisch",Wieser Verlag,2004,"https://www.perlentaucher.de/buch/marie-therese-kerschbaumer/neun-elegien-nueve-elegias.html"
10,"Orfeo. Bilder, Träume. Prosa",Wieser Verlag,2003,"https://www.perlentaucher.de/buch/marie-therese-kerschbaumer/orfeo.html"
10,"Fern. Drittes Buch. Roman",Wieser Verlag,2001,"https://www.perlentaucher.de/buch/marie-therese-kerschbaumer/fern.html"
13,"Alle Gedichte",Jung und Jung Verlag,2010,"https://www.perlentaucher.de/buch/gert-jonke/alle-gedichte.html"
13,"Strandkonzert mit Brandung. Georg Friedrich Händel - Anton Webern - Lorenzo da Ponte",Jung und Jung Verlag,2006,"https://www.perlentaucher.de/buch/gert-jonke/strandkonzert-mit-brandung.html"
13,"Geometrischer Heimatroman",Jung und Jung Verlag,2004,"https://www.perlentaucher.de/buch/gert-jonke/geometrischer-heimatroman.html"
13,"Redner rund um die Uhr. Eine Sprechsonate",Jung und Jung Verlag,2003,"https://www.perlentaucher.de/buch/gert-jonke/redner-rund-um-die-uhr.html"
13,"Der ferne Klang. Roman",Jung und Jung Verlag,2002,"https://www.perlentaucher.de/buch/gert-jonke/der-ferne-klang.html"
13,"Insektarium",Jung und Jung Verlag,2001,"https://www.perlentaucher.de/buch/gert-jonke/insektarium.html"
13,"Himmelstraße - Erdbrustplatz oder Das System von Wien",Residenz Verlag,1999,"https://www.perlentaucher.de/buch/gert-jonke/himmelstrasse-erdbrustplatz-oder-das-system-von-wien.html"
14,"Harmfuls Hölle. In dreizehn Episoden. Erzählungen",Suhrkamp Verlag,2011,"https://www.perlentaucher.de/buch/juerg-laederach/harmfuls-hoelle.html"
14,"Depeschen nach Mailland",Suhrkamp Verlag,2009,"https://www.perlentaucher.de/buch/juerg-laederach/depeschen-nach-mailland.html"
14,"In Hackensack - Vier minimale Stücke",Urs Engeler Editor,2003,"https://www.perlentaucher.de/buch/juerg-laederach/in-hackensack-vier-minimale-stuecke.html"
15,"Die siebte Woge. Mein Logbuch",S. Fischer Verlag,2015,"https://www.perlentaucher.de/buch/dieter-kuehn/die-siebte-woge.html"
15,"Das Magische Auge. Mein Lebensbuch",S. Fischer Verlag,2013,"https://www.perlentaucher.de/buch/dieter-kuehn/das-magische-auge.html"
15,"Den Musil spreng ich in die Luft. Gefälschte Geschichten?",S. Fischer Verlag,2011,"https://www.perlentaucher.de/buch/dieter-kuehn/den-musil-spreng-ich-in-die-luft.html"
15,"Ich war Hitlers Schutzengel",S. Fischer Verlag,2010,"https://www.perlentaucher.de/buch/dieter-kuehn/ich-war-hitlers-schutzengel.html"
