,text_id,element_position,critic_ids_talking,critics_talking,total_tokens,sentiment_score,tokens_without_sentiment,positive_tokens,positive_sentiment,negative_tokens,negative_sentiment,sentiment_distance,element_text,pos_tokens_dict,neg_tokens_dict
0,524,0,,,15,0,15,0,0,0,0,0,"Ulrike Draeser aus Berlin beschloss den Klagenfurt Lesereigen. Ihr Auszug aus ""Lück"" schilderte die Kindheit einer Ich-Erzählerin, die immer hinter ihrer kleinen Schwester zurückstehen muss und deren Hassliebe einen Ausweg sucht.",{},{}
1,524,1,91,Denis Scheck,10,-0.07065,8,1,0.2452,1,-0.3865,0.6317,"""Es ist ein Spiel ums Glück, er habe dieses Spiel gerne gespielt"", so Denis Scheck. Er habe aber auch ein wenig Probleme mit der Kinderperspektive.",{'Glück': 1},{'Problem': 1}
2,524,2,79,Iris Radisch,28,0.3553,27,1,0.3553,0,0,0.3553,"""Schon wieder eine Dreier-Beziehung - Papa, Mama, ich"", war Iris Radisch ein wenig genervt. Der Text sei sehr verdichtet - wie in einem Hochsicherheitstrakt, wo sich alle belauern. Gezeichnet mit viel Todesmetaphorik, ein bisschen zu sauber gebaut. Radisch sehe schon das Ab- und Untergründige einer Kindheit der 60er Jahre, das sei aber zu überdeutlich erzählt. ""Natürlich ist die Idee einer Kindheit, die scheitert, das Urgestein der Literatur - ohne Frage"", befand die Jurorin.",{'sauber': 1},{}
3,524,3,87,Ulrike Längle,27,-0.11775714285714287,20,2,0.1229,5,-0.21402000000000002,0.33692,"Für Ulrike Längle war der Text in allem zu überdeutlich. Die blöden kleinen Mädchen, die ihre kleinen Schwestern hassen - das sei eine abgedroschene Konstellation, der sie nichts abgewinnen könne. ""Was den Text aber von anderen unterscheidet, das ist die Sprache. Ungeheuer ritualisiert, eine absolute Kunstsprache, die der banalen Kleinbürgergeschichte eine Bedeutung verleiht, die sie nicht hat"", so Längle. ""Ich werde aber davon nicht gefangen genommen, es stößt mich eher ab"".","{'absolut': 1, 'Bedeutung': 1}","{'blöd': 1, 'hassen': 1, 'abgedroschen': 1, 'banal': 1, 'stoßen': 1}"
4,524,4,88,Robert Schindel,29,-0.279875,25,1,0.004,3,-0.3745,0.3785,"""Wir schreiben immer über die gleichen Themen, aufs wie es gemacht ist, kommt es an - hat schon Chandler gesagt"", meinte Robert Schindel. Er sehe den Versuch einer Entwicklung zur Identität in einem Familienraum. Wenn die Sprache ähnlich funktionieren würde, wie Atmung, dann würden sich die banalen Sachverhalte als Versuch verdeutlichen, aus einer grausame Idylle auszubrechen. ""In der Art wie es dargestellt ist, wird es zu einem gelungen Kabinettstück über Reifeprozess und Abgrenzung"", so Schindel.",{'funktionieren': 1},"{'banal': 1, 'grausame': 1, 'ausbrechen': 1}"
5,524,5,90,Elisabeth Bronfen,23,0.1334857142857143,16,4,0.31515000000000004,3,-0.10873333333333335,0.4238833333333334,"Elisabeth Bronfen hat die Hassliebe der Schwestern überzeugt . Es sei eine Art Pattsituation, die ""vielleicht banal ist, aber als psychische Situation absolut überzeugt"", meinte Bronfen. ""Durch die Art der Erzählung wird die stille Verzweiflung überzeugend, und die Bedrohung unter der Oberfläche mit einer Bildkette vieler kleiner Details deutlich"".","{'überzeugen': 3, 'absolut': 1}","{'banal': 1, 'Verzweiflung': 1, 'Bedrohung': 1}"
6,524,6,79|83,Iris Radisch|Hardy Ruoss,27,-0.133325,23,2,0.004,2,-0.27065,0.27465,"Hardy Ruoss: ""Die Botschaft hör' ich schon, aber mir fehlt nach der Lektüre der Glaube. Ich hab es mit der Linie Limo-Omo-Bravo von Iris Radisch versucht, aber noch näher war mir die Linie der Nimm2-Lakritze-Gummibärchen. Aber auch das war mir zu idyllisch und zu kalorienreich in meinem Alter. Wenn das aber so daherkommt, dann sehe ich meine TV-Sozialisation der 50er Jahre, und das tut alles nicht weh"", so Ruoss, und fügte noch hinzu, ""ein Ich, das so redet, das ist wirklich nur Kunst in Kunst in Kunst"" .","{'Glaube': 1, 'idyllisch': 1}","{'fehlen': 1, 'alt': 1}"
7,524,7,92,Burkhard Spinnen,17,-0.37770000000000004,15,0,0,2,-0.37770000000000004,0.37770000000000004,"""Das sind sehr artifizielle Unternehmungen, das böse Mädchen, das ich schon kenne, zu beschreiben"", so Burkhard Spinnen. Die Autorin würde einen Versuch unternehmen, das Bewusstsein in eine nicht mehr vorhanden Vergangenheit zurückzuschrauben, und ""das ist die Bosheit von uns Dreißig- und Vierzigjährigen"".",{},"{'böse': 1, 'Bosheit': 1}"
8,525,0,,,22,0,22,0,0,0,0,0,"Als vorletzter las der Schweizer Patrick Kokontis. Sein Text, ein Auszug aus dem Manuskript ""Entgleisungen"" zeigt einen Helden mit durchaus autobiografischen Bezügen, der sich mit der Diagnose Aids auseinandersetzen muss und während einer Zugsfahrt erkennt, dass das Leben auch weiterhin trivialer Alltag ist.",{},{}
9,525,1,91,Denis Scheck,20,0.1039,18,2,0.1039,0,0,0.1039,"Denis Scheck habe zu Beginn große Hoffnungen gehabt, doch ""man kann beim Thema Aids eines Protagonisten nicht immer wieder über Zitate aus dem Film Peters Friends stolpern"". Die sprachlichen Ausdrücke ließen die Geschichten der Oberfläche bleiben, meinte Scheck abschließend.","{'Hoffnung': 1, 'abschließen': 1}",{}
10,525,2,79,Iris Radisch,28,-0.19003333333333336,25,1,0.3698,2,-0.46995,0.83975,"""Wieder jemand der fährt, und währenddessen an vergangene Seelenstürme denkt. Das Ganze kommt mir vor, als ob der Schweizer Biedermann den Brandstifter spielen will, in unglaublich schlichter Prosa ,wirklich laienhaft mit großem sprachlichem Ungenügen geschrieben"", urteilte Iris Radisch. Sie fand, der Text sei in einer sehr in der Schweizer Eigenheimwelt wurzelnden Sprache verfasst, die mit Filmzitaten auf die zusammenstürzende Welt reagiere.",{'unglaublich': 1},"{'schlicht': 1, 'laienhaft': 1}"
11,525,3,92,Burkhard Spinnen,30,-0.1698,25,1,0.004,4,-0.21325,0.21725,"Burkhard Spinnen war auch nicht in der Lage, den Text ""uneingeschränkt zu den besseren zu zählen"", doch werde da ein ungeheuer zeitgenössisches Thema aufgenommen, wies er die Kritiker hin. ""Es ist eine ungeheure Aufgabe der Literatur, zu zeigen, dass Menschen weiterleben. Hier wurde ein großes Unterfangen unternommen, hier wurde versucht Existentielles und Alltägliches zusammenzubringen, dem Schrecken Aids einen allegorischen Stellenwert zu geben"", so Spinnen.",{'uneingeschränkt': 1},"{'ungeheuer': 1, 'Kritiker': 1, 'ungeheure': 1, 'Schreck': 1}"
12,525,4,88,Robert Schindel,40,-0.004549999999999995,32,4,0.0908,4,-0.09989999999999999,0.19069999999999998,"Robert Schindel gestand zu ,dass dies ein schwieriges Unterfangen sei. Er fand aber eine große Redundanz im Text: Bilder die nicht funktionieren, auch die Sprache sei schief, das ""Thema kommt deshalb nicht rüber"". Es wäre zu groß gegriffen und nicht gelungen. Er halte es für rohes Sprachmaterial, das zur Verfügung steht um ein großes Thema zu bearbeiten. ""Da muss noch genau überlegt werden wie das zu gestalten sei"", so Schindel. Er sehe auch mangelndes Vertrauen in den Leser, von dem der Autor glaube, er sei so blöd , dass man ihm alles noch einmal und noch einmal sagen muss. ""Damit fällt das Thema zu Boden"", schloss Schindel.","{'funktionieren': 1, 'genau': 1, 'überlegen': 1, 'Vertrauen': 1}","{'schwierig': 1, 'Redundanz': 1, 'blöd': 1, 'schloss': 1}"
13,525,5,90,Elisabeth Bronfen,8,0.004,7,1,0.004,0,0,0.004,"Elisabeth Bronfen meinte, das Thema, und wie die Erzählung einen Bogen mache, das habe sie interessiert - aber sprachlich sei es nicht gelungen.",{'interessieren': 1},{}
14,525,6,83,Hardy Ruoss,30,-0.10092500000000001,26,2,0.051899999999999995,2,-0.25375000000000003,0.30565000000000003,"""Wir können häufig Realität und Fiktion nicht auseinanderhalten"", so Hardy Ruoss. ""Es geht hier um Literatur, um einen autobiografischen Roman. Es ist ein Stück Eisenbahnfahrt, und das Schöne an so einer Fahrt ist, dass man Muse hat zu schauen und zu denken - das ist hervorragend umgesetzt"". Ruoss verstehe den Text als kleinen Ausschnitt einer Figur die sich mit der Katastrophe abgefunden habe. Das sei nicht Biedermann, das ist der Brand der Biedermann ergriffen hat, so Ruoss.","{'Schönes': 1, 'verstehen': 1}","{'Katastrophe': 1, 'Brand': 1}"
15,525,7,87,Ulrike Längle,14,-0.1677,12,1,0.004,1,-0.3394,0.3434,"Ulrike Längle fand, dass der Text in der Sprache gescheitert sei. Die Schilderung einer existentiellen Grenzsituation werde in einer Sprache von solcher Hilflosigkeit geschildert, dass diese dem Thema nicht gerecht werde.",{'gerecht': 1},{'Hilflosigkeit': 1}
16,525,8,,,8,-0.1563,6,1,0.004,1,-0.3166,0.3206,"Autor Kokontis gab den Juroren in seinem Schlusswort zu bedenken , dass es nichts so Banales wie die Wirklichkeit gäbe.",{'bedenken': 1},{'Banales': 1}
17,526,0,,,13,-0.0048,12,0,0,1,-0.0048,0.0048,"In die Kindheit und Jugend eines Ich- Erzählers entführte der in Wien lebende Deutsche Stephan Reimertz das Auditorium mit einem Auszug aus seinem Roman ""Papiergewicht"".",{},{'entführen': 1}
18,526,1,,,12,0.043050000000000005,10,2,0.043050000000000005,0,0,0.043050000000000005,"Wegen des Vaters, der ihm immer wieder als leuchtendes Vorbild vor Augen gestellt worden war, konnte der Junge keinen Killerinstinkt entwickeln, wird aber zum genauen Beobachter der gesellschaftlichen Hierarchien.","{'leuchtend': 1, 'genau': 1}",{}
19,526,2,92,Burkhard Spinnen,12,-0.0048,11,0,0,1,-0.0048,0.0048,"Burkhard Spinnen versuchte Autorensolidarität aufzubringen: ""Vielleicht ist es ein schlecht ausgewählter Ausschnitt"", vermutete er, ""Ich habe nichts gefunden, was die Darstellung der Kindheit veranlasst hat"".",{},{'aufbringen': 1}
20,526,3,83,Hardy Ruoss,15,0.004,14,1,0.004,0,0,0.004,"Hardy Ruoss meinte, es werde auf traditionelle Art erzählt, Bilder nur genannt, aber nicht dargestellt. Er hätte gerne den ""trojanischen Esel, den die Geschichte durchaus haben könnte"", nicht gefunden, und meinte, an der Geschichte müsse noch gearbeitet werden.",{'traditionell': 1},{}
21,526,4,88,Robert Schindel,20,-0.19565000000000002,18,0,0,2,-0.19565000000000002,0.19565000000000002,"Technische Probleme des Textes ortete Robert Schindel. Es hake noch daran, die Erzählperspektive des Zehnjährigen wie in Zeitlupe zu bringen. Den Text zu straffen und zu verdichten - das würde diesem gut tun. ""Wenn Sie Idylle beschreiben wollen - das geht auf diese alte Art nicht mehr"", beschied er dem Autor.",{},"{'Problem': 1, 'alt': 1}"
22,526,5,79,Iris Radisch,28,0.034466666666666666,25,2,0.2318,1,-0.3602,0.5920000000000001,"Iris Radisch hatte gehofft: Bis zuletzt habe ich gehofft, dass der Autor das nicht ernst gemeint hat, dass es eine Parodie wäre. Ich befürchte aber, es ist eine Literatur aus der Jugendpsychotherapie"", so Radisch. Vielleicht sei es notwendig Idyllen zu entwerfen, meinte sie weiter, aber Kinder reden so nicht, das sei eine erwachsen Projektion. ""Ich weiß im Grunde überhaupt nicht , was sie gewollt haben"", wandte sie sich an de Autor, ""ich fasse es nicht, wie eine Autor heute so viele Stereotypen versammeln kann"".",{'hoffen': 2},{'befürchten': 1}
23,526,6,90,Elisabeth Bronfen,26,0.004,24,2,0.004,0,0,0.004,"Elisabeth Bronfen meinte, der Text höre sich wie ein Kinderbuch an. Sie habe auch den Eindruck, der Text wäre unentschlossen. ""Da wäre wohl Ironie notwendig gewesen, damit man die Perspektive des Kindes packend, das Fragmentarische der Wahrnehmung interessiert gefunden hätte"", so Bronfen. Aber Ironie habe sie nicht gefunden. Sie fand, der Text sei ""extrem schematisch, führt aber nicht zu einem Punkt"".","{'interessieren': 1, 'führen': 1}",{}
24,526,7,87,Ulrike Längle,28,0.001066666666666667,25,2,0.004,1,-0.0048,0.008799999999999999,"Ulrike Längle sah hingegen die Qualitäten des Textes genau dort, wo die Einwände der anderen Juroren lagen. ""Es wird eine latente Spannung zwischen Idylle und unterschwelliger Bedrohung aufgebaut, und der Aufbau der Spannung erfolgt in kleinen unauffälligen Details"", fand Längle. Sie sehe aber auch eine die Geschichte, die durchaus ""mit Komik den Blick auf das Deutschland der 60er und 70er Jahre freigibt"".","{'Qualität': 1, 'genau': 1}",{'Bedrohung': 1}
25,526,8,79,Iris Radisch,14,-0.009500000000000028,11,2,0.25115,1,-0.5308,0.78195,"""Ich habe es genossen von so bedeutenden Literaturkritikern verrissen zu werden, insbesondere die Kritik von Iris Radisch betrachte ich als Ritterschlag"", so Autor Stephan Reimertz in seinem Schlusswort.","{'genießen': 1, 'bedeutend': 1}",{'Kritik': 1}
26,527,0,,,18,0,18,0,0,0,0,0,"Der letzte Bewerbstag begann mit der Lesung der Deutschen Susanne Riedel. In ihrem Auszug aus dem Roman ""Knoten"" ging es um ein Telefonspiel im Fernsehen und die Beziehungen zwischen einer Moderatorin und einem dichtenden, Pilze sammelnden Kandidaten .",{},{}
