text_id,text_length,total_sentences
508,4624,446
509,3983,395
510,2762,192
511,4026,422
512,4775,389
513,4122,237
514,4295,308
515,4106,467
516,4066,298
517,3250,274
518,4968,412
519,4564,417
520,3478,245
521,4213,464
522,4460,181
523,3728,73
524,4209,704
525,5308,683
526,3873,611
527,5079,814
528,3746,499
529,3740,541
530,4056,569
531,3703,578
532,5645,897
533,3192,413
534,4066,656
535,3511,506
536,4452,554
537,4303,634
538,4275,654
539,3244,380
540,3538,527
541,4195,594
542,4570,544
543,4269,691
544,2479,276
545,3825,467
546,4257,583
547,4441,559
548,4367,632
550,4635,805
551,3157,476
552,4330,509
553,4634,667
554,3671,676
555,2383,483
556,2403,353
557,3992,879
558,3549,971
559,3489,503
560,3824,517
561,3761,395
562,4196,446
563,3409,357
564,3964,324
565,4001,494
566,3452,517
567,3801,496
568,3576,520
569,2364,401
570,3723,409
571,4266,645
572,2148,328
573,4873,531
574,3569,516
575,3426,490
576,3460,367
577,3317,539
578,3263,622
579,3628,455
580,4005,557
581,4261,849
582,4933,724
583,3725,647
584,3910,667
585,4724,872
586,4978,568
587,4139,648
588,4028,502
589,1964,265
590,4517,517
591,3797,455
592,4038,675
593,3321,576
594,5027,626
595,3723,544
596,3965,579
597,4033,442
598,4356,672
599,3883,457
600,3176,446
601,3956,372
602,4367,595
603,4498,854
604,4597,591
605,3454,538
606,5098,969
607,4263,642
608,3870,678
609,3533,472
610,5013,947
611,3539,318
612,3119,389
613,2761,460
614,3100,421
615,4793,557
616,4149,488
617,3512,556
618,4612,617
619,4769,869
620,4636,712
621,4054,705
622,5092,665
623,4832,559
624,3845,790
625,4269,762
626,3665,696
627,3727,502
628,4817,685
629,4095,710
630,4460,635
631,4614,566
632,4588,516
633,4153,455
634,5457,769
635,3605,571
636,4801,304
637,3841,428
638,4175,665
639,4586,603
640,3886,577
641,3611,311
642,4301,426
643,4494,733
644,3793,239
645,4637,543
646,4158,509
647,3797,666
648,3682,474
649,3331,501
650,5622,556
651,3020,334
652,3746,538
653,4099,712
654,4133,468
655,3746,340
656,5645,699
657,4561,765
658,4703,619
659,4153,668
660,4133,606
661,3282,392
662,5671,625
663,2924,383
664,4463,565
665,4244,425
666,3908,463
667,3481,468
668,3905,569
669,3503,204
670,4060,571
671,3964,474
672,4968,644
673,3952,553
674,4059,606
675,3248,434
676,3130,543
677,3245,429
678,4419,611
679,2998,348
680,3399,513
681,3760,484
682,3511,609
683,3734,502
684,4265,577
685,4003,623
686,3700,497
687,5292,673
688,3849,446
689,4358,386
690,5155,683
691,4026,574
692,3399,486
693,4635,699
694,4503,688
695,3672,439
696,4325,523
697,3586,411
698,3713,656
699,2536,396
700,3692,561
701,4117,560
702,3517,437
703,4165,686
704,4408,403
705,4030,584
706,4747,744
707,2809,364
708,3680,409
709,3755,390
710,4174,491
711,4621,708
712,4709,486
713,3758,409
714,3548,516
715,3425,499
716,4062,479
717,3512,363
718,4551,547
719,2402,382
720,3275,543
721,3146,245
722,3504,456
723,3067,408
724,2983,346
725,3237,405
726,3115,262
727,3651,462
728,3208,526
729,3314,467
730,3462,344
731,2475,537
732,3347,614
733,3751,525
734,3022,390
735,3322,445
736,3538,444
737,3616,313
738,3257,396
739,3877,458
740,3101,523
741,4581,746
742,3990,586
743,4393,582
744,3254,424
745,3794,360
746,4828,603
747,2776,373
748,3103,523
749,1667,352
750,4065,568
751,3333,375
752,4146,606
753,4565,545
754,3600,314
755,3097,435
756,4037,538
757,3509,481
758,3804,432
759,4097,593
760,3746,411
761,2701,393
762,3300,459
763,3800,625
764,3219,474
765,3203,534
766,4412,459
767,2711,301
768,3868,628
769,5017,949
770,4117,781
771,3861,659
772,2743,432
773,4173,705
774,3076,425
775,3512,613
776,3331,522
777,1929,319
778,3466,384
779,2973,431
780,4301,747
781,3031,398
782,2807,399
783,3200,410
784,3794,533
785,3498,494
786,2751,441
787,3728,504
788,3253,439
789,3560,412
790,3763,530
791,3691,547
792,3350,441
793,4019,574
794,2716,385
795,3446,564
796,2511,511
797,3312,474
798,1958,279
799,2860,375
800,3266,661
801,3674,271
802,2751,608
803,3561,477
804,3491,599
805,3563,726
806,2830,349
807,2324,303
808,2829,402
809,3803,488
810,3536,446
811,3351,514
812,2769,388
813,3683,425
814,3015,405
815,2926,433
816,3327,462
817,2419,367
818,2861,523
819,3527,406
820,3932,519
821,4634,602
822,3462,372
823,2794,566
824,3602,497
825,3835,454
826,3740,334
827,3656,530
828,3927,887
829,3206,365
830,3800,433
831,2753,405
832,2238,324
833,3274,434
834,3539,896
835,3850,589
836,2749,317
837,4343,593
838,3509,430
839,3755,389
840,3532,235
841,3370,531
